Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O2,5.296811,18985538963,3063300273,115050025,811759,267434091,563908,12171,274916417,576804,1033847703,1129755931,512856330,1571859,<not supported>,3732257,<not supported>,725457,<not supported>,<not supported>,113042306,725445,643173,23569,1756,1019850698,752364934,511301777,554247,<not supported>,<not supported>,25,3690
covariance_main_O2,5.315770,18999408466,3065315361,123498548,803417,268475947,562252,12171,274931154,557466,1033246938,1121607030,515385792,1582272,<not supported>,3623712,<not supported>,662202,<not supported>,<not supported>,122624217,741545,1025970,52070,464,1017123633,752369073,508508524,529352,<not supported>,<not supported>,0,3441
2mm_main_O2,17.379958,48790902055,14144027841,2167657404,2118893,1104237473,2221757,18508,1112212352,2224717,4332273304,2178429631,2193030886,5154802,<not supported>,2001654,<not supported>,1656017,<not supported>,<not supported>,2161062485,1945034,2503941,89552,1349,4323393834,2164413635,2166205045,304217,<not supported>,<not supported>,1100,20527
3mm_main_O2,20.369141,73229805513,19493704323,3253524373,1795799,1651566229,3347696,22604,1660189243,3355403,6481014614,3268480571,3275905209,8001212,<not supported>,3343221,<not supported>,3611179,<not supported>,<not supported>,3245145451,2046587,4206829,285782,8055,6520186706,3237648070,3249115361,453908,<not supported>,<not supported>,112,16944
atax_main_O2,0.025726,542688880,426751716,3034067,2652041,44252536,37862,39537,42463917,31928,52152194,4657536,70385065,4213662,<not supported>,105815,<not supported>,97308,<not supported>,<not supported>,2516840,2259157,1684987,1048293,3298188,183129959,424750,109809211,404901,<not supported>,<not supported>,88,27108
bicg_main_O2,0.046863,602764874,494065682,2322513,2259738,52750505,44513,39545,63343362,66631,98812857,5122434,78061768,4656527,<not supported>,116558,<not supported>,114541,<not supported>,<not supported>,2777511,1884963,1869721,1170055,3881349,230345153,419593,101550660,450692,<not supported>,<not supported>,0,29056
cholesky_main_O2,0.173884,642281770,873082956,2739198,934720,87923503,298084,10313,90630174,274830,355129164,24730946,15470547,1884841,<not supported>,24183673,<not supported>,58245,<not supported>,<not supported>,8531464,62872,1298,290,159302,439351794,754577,662512,778,<not supported>,<not supported>,0,91
doitgen_main_O2,0.349687,1380257329,1766959734,1818852,1246126,150070735,1869644,16489,149773861,1916768,555611941,261428771,278999536,1848806,<not supported>,7046924,<not supported>,109720,<not supported>,<not supported>,2371813,198205,325653,86903,275489,613857931,71122,308073450,40272,<not supported>,<not supported>,0,4786
gemm_main_O2,6.818002,24393894899,7606214322,1084436199,1267200,560241708,1136191,14409,567021943,1133416,2171504898,1086283901,1113179196,4020240,<not supported>,4290253,<not supported>,736742,<not supported>,<not supported>,1080703246,2322216,1121235,10030,9033,2169264658,1085193079,1086091979,203039,<not supported>,<not supported>,0,3401
gemver_main_O2,0.217063,1183441152,487940898,25359826,5112457,67614042,47867,39576,74270516,63500,157354277,36007590,95785712,4559514,<not supported>,2194682,<not supported>,123758,<not supported>,<not supported>,23017847,5350786,1827405,1144637,3022301,173619528,18007392,65748822,448480,<not supported>,<not supported>,0,28329
