Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_nopt,4.902026,17648317471,14215757846,120402216,407129,1016985157,557752,12174,1021451089,560184,7563764850,1117869543,1046964925,2905511,<not supported>,3163965,<not supported>,736367,<not supported>,<not supported>,117657737,390644,628686,18300,1234,7660797146,756697378,1040881164,520242,<not supported>,<not supported>,12,6591
covariance_main_nopt,4.910681,17605268032,14234505534,120497200,381355,1018782765,557176,12173,1027830664,561528,7590932203,1112490711,1042831760,2877723,<not supported>,2981029,<not supported>,645235,<not supported>,<not supported>,118430526,365240,637791,17175,1620,7645448320,751645510,1018530923,590027,<not supported>,<not supported>,0,5787
2mm_main_nopt,14.007085,50765304814,61459484030,2166619886,1648251,4327088063,2234904,18506,4339292275,2238062,33472073691,2194256054,4356476435,2551739,<not supported>,10566556,<not supported>,2115345,<not supported>,<not supported>,2164791881,457160,2509309,1331556,2743,33317290316,2159853278,4373947368,46850,<not supported>,<not supported>,100,8803
3mm_main_nopt,20.870119,74871398453,90484791682,3247362086,2115672,6485107940,3337499,22601,6496204237,3339458,48501035402,3267052756,6500004917,3239890,<not supported>,7166487,<not supported>,3812895,<not supported>,<not supported>,3247067376,478888,2909182,2016539,4099,48439202033,3242037721,6535179403,88509,<not supported>,<not supported>,199,17956
atax_main_nopt,0.088296,1149729929,1538266212,2960328,2590970,132103667,62445,39537,125028531,34151,774055900,10490221,134361716,4976647,<not supported>,7123664,<not supported>,151685,<not supported>,<not supported>,369901,261497,4011993,2046409,4145367,800657166,460988,163200533,623582,<not supported>,<not supported>,0,26728
bicg_main_nopt,0.075695,1104021135,1199231953,3019438,2345459,94749410,35022,39545,94164028,29601,782568000,9231102,123701292,4693145,<not supported>,6042187,<not supported>,135789,<not supported>,<not supported>,216500,155077,3853198,2269821,2240889,724869613,396484,160474410,525190,<not supported>,<not supported>,351,27487
cholesky_main_nopt,0.485643,1794174966,5472747686,1937704,682500,363036290,435632,10314,360476202,411953,2191792354,24772681,387742296,382779,<not supported>,24702101,<not supported>,104976,<not supported>,<not supported>,2641080,386865,3414,829,197974,2351387767,700501,394085299,787,<not supported>,<not supported>,0,190
doitgen_main_nopt,1.190005,4462473929,11751374877,2837394,647570,565047128,2154070,16490,569627248,2167613,5819697121,266144898,582884546,3320465,<not supported>,154812958,<not supported>,302383,<not supported>,<not supported>,1803035,166950,264365,79008,1622246,5838288835,74939,579565442,34257,<not supported>,<not supported>,0,4910
gemm_main_nopt,7.074196,25610688693,31338396430,1084594016,951773,2174405404,1141690,14410,2179487744,1129108,17325354938,1097013912,2185250015,2321006,<not supported>,5016600,<not supported>,838168,<not supported>,<not supported>,1079079825,335899,2139014,553271,3136379,17405715576,1080100131,2189722534,110723,<not supported>,<not supported>,37,3018
gemver_main_nopt,0.323244,1947569428,1818592904,25759483,4591978,148296757,60854,39573,141294715,38931,1059342460,48417975,185632340,5438674,<not supported>,15910987,<not supported>,172569,<not supported>,<not supported>,16660674,1890669,3897751,2316342,3745338,1024829826,18673906,203990760,595135,<not supported>,<not supported>,76,27671
gesummv_main_nopt,0.076839,1822949283,1401917827,6823482,5919909,126712260,80510,70785,147983421,92932,854344334,13707624,176576588,5755372,<not supported>,6873219,<not supported>,201138,<not supported>,<not supported>,2062795,759124,4701246,2884805,4141136,807737858,877121,169274194,879244,<not supported>,<not supported>,0,91315
mvt_main_nopt,0.251304,1680195907,1392337482,21364487,4166266,152797113,64285,39542,146013175,37093,915652566,37856454,157935032,2738298,<not supported>,7222597,<not supported>,159734,<not supported>,<not supported>,22062728,2383577,3913528,2374107,359742,584024531,20125674,152078228,566845,<not supported>,<not supported>,101,27664
symm_main_nopt,10.660152,38383513247,25336826284,1621185258,986110,1090428104,1126268,14410,1096076574,1127775,13494634264,1809927791,1647795683,538120892,<not supported>,387741,<not supported>,1237236,<not supported>,<not supported>,1617069651,362270,2153395,563502,3087930,13626272578,1537733027,1649704229,40276325,<not supported>,<not supported>,550,6534
syr2k_main_nopt,5.749563,20854805754,55140317617,10157690,982746,2164371555,1106965,14408,2165603035,1105972,31364112765,325177163,3257439974,2210031,<not supported>,290902749,<not supported>,704204,<not supported>,<not supported>,8715660,324347,2123202,562662,6700146,31326082573,4831652,3281478828,109823,<not supported>,<not supported>,12,3566
