Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_nopt,4.894968,17630650387,14168483798,124897927,452725,1014543226,548249,12174,1016518694,554339,7565411027,1124948324,1065325441,1184855,<not supported>,5014652,<not supported>,519805,<not supported>,<not supported>,123279521,1074717,612819,49303,2070,7685012820,752699651,1021259180,584668,<not supported>,<not supported>,631,7153
covariance_main_nopt,4.854096,17601825313,14161651399,127124826,357525,1018761549,551474,12173,1024185979,561658,7570577557,1107808205,1072230085,1061458,<not supported>,2543375,<not supported>,462854,<not supported>,<not supported>,124834772,853870,1125103,304477,1295,7578815908,755441259,1021400261,525575,<not supported>,<not supported>,25,4529
2mm_main_nopt,14.090726,50282967241,61335609809,2144885318,910546,4319023759,2202754,18507,4334394357,2215961,33451005296,2193586624,4354802330,2481759,<not supported>,10440344,<not supported>,1507322,<not supported>,<not supported>,2145326155,467282,3146267,914906,3820476,33558575594,2160262465,4318733513,41559,<not supported>,<not supported>,6126,35235
3mm_main_nopt,20.858610,74899796993,90528684358,3249146957,1585857,6488750484,3302623,22605,6495117610,3302140,48478265240,3303567863,6506022264,5454959,<not supported>,20782994,<not supported>,2792616,<not supported>,<not supported>,3234171445,650661,860510,314898,1485465,48533054470,3250286962,6488320511,77555,<not supported>,<not supported>,1064,21638
atax_main_nopt,0.088635,1139539729,1571803673,2668134,2305865,136637643,116772,39536,124970921,34482,770576003,10268382,133883057,4527613,<not supported>,7023144,<not supported>,153478,<not supported>,<not supported>,303062,214572,4017816,2544349,2610778,758680106,373086,170493072,344822,<not supported>,<not supported>,38,27310
bicg_main_nopt,0.075819,1072855212,1291113830,2547158,2234630,88172634,31802,39545,92927187,31763,770580506,9354970,121865941,4676951,<not supported>,5886577,<not supported>,153133,<not supported>,<not supported>,159944,116251,3905628,2456556,3488906,785955223,362372,159890008,525437,<not supported>,<not supported>,223,29677
cholesky_main_nopt,0.488997,1770687687,5398391104,2162034,973039,360142837,427593,10309,356776929,406062,2189163572,25003248,394188324,378811,<not supported>,23394632,<not supported>,109762,<not supported>,<not supported>,3649810,347933,3763,1218,197911,2348568782,675595,393256329,555,<not supported>,<not supported>,0,216
doitgen_main_nopt,1.516595,4423678968,11659035879,1484911,608648,561848375,2156782,16489,568326850,2167901,5815149920,266402218,584051727,3393997,<not supported>,154304156,<not supported>,306371,<not supported>,<not supported>,547146,168192,260144,149775,1156103,5910633059,64893,579350498,30421,<not supported>,<not supported>,0,6849
gemm_main_nopt,7.197395,25704242739,31323794366,1085134395,780439,2170315853,1125060,14411,2178501223,1126186,17317586362,1095977376,2193873645,2661996,<not supported>,5094762,<not supported>,828871,<not supported>,<not supported>,1080434423,307956,2043381,505742,3121285,17396260309,1079850683,2187369840,20302,<not supported>,<not supported>,12,3297
gemver_main_nopt,0.329723,1925855789,1882025732,26488969,4486601,142244720,38933,39575,139784862,39074,1096258123,44603294,195120670,5369171,<not supported>,15709416,<not supported>,159812,<not supported>,<not supported>,16311358,1872142,3960314,2502356,4685698,1070490363,18302828,207829000,333329,<not supported>,<not supported>,325,27743
gesummv_main_nopt,0.077292,1747434362,1350072217,6210714,5226999,130738133,98884,70787,148383630,141108,836938658,16103027,211548755,5640546,<not supported>,6548980,<not supported>,214743,<not supported>,<not supported>,571735,351179,4704323,2970697,4100537,795144833,809254,171495232,840894,<not supported>,<not supported>,13,94880
mvt_main_nopt,0.250802,1674467428,1463204944,21995952,4109124,156316490,80698,39542,144239446,37679,907836365,36881020,157151436,2720313,<not supported>,4105352,<not supported>,164915,<not supported>,<not supported>,24133982,2359524,3999776,2562215,1455430,639054378,19573905,155451842,339744,<not supported>,<not supported>,101,27140
symm_main_nopt,10.780085,38425160381,25332178891,1620663877,1030616,1095245841,1152278,14407,1095983551,1132002,13488885201,1809787015,1648090762,537967227,<not supported>,388935,<not supported>,1371360,<not supported>,<not supported>,1617029199,344372,2021582,465061,3111936,13614855060,1536758996,1642852849,39482168,<not supported>,<not supported>,37,4694
syr2k_main_nopt,5.755054,20820830746,55151657070,9838922,706005,2165615071,1115210,14407,2170180301,1113823,31360551180,325053209,3253893519,2289142,<not supported>,290604047,<not supported>,732674,<not supported>,<not supported>,8744045,245186,1984402,483140,4625922,31307592833,4526837,3283170620,100169,<not supported>,<not supported>,75,3513
syrk_main_nopt,3.126744,11341476801,31487925716,5002423,643421,2161347138,1091352,12360,2164979367,1093648,17316081769,137220080,2177446388,2658159,<not supported>,126090442,<not supported>,399009,<not supported>,<not supported>,4260503,245546,39840,14491,2843804,17499135180,2311454,2189162588,42908,<not supported>,<not supported>,12,1352
