Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_polly,1.200458,3494618267,3916069078,7407581,740941,310706744,549984,12326,314638492,548204,1561093480,14731578,1004704115,4738196,<not supported>,6081883,<not supported>,151340,<not supported>,<not supported>,8475070,1437071,126545,10399,1792,1527828947,1131762,1071552877,22298,<not supported>,<not supported>,0,702
covariance_main_polly,1.189085,3474495594,3889852706,7496859,773960,308016470,539743,12323,311491041,538543,1500246759,14646960,1005780027,4680745,<not supported>,5886101,<not supported>,519029,<not supported>,<not supported>,8370415,1678939,2587897,87614,722,1598013156,848731,1062880068,25778,<not supported>,<not supported>,386,4960
2mm_main_polly,17.416168,48816804759,14098031094,2171455884,1413735,1105047636,2253994,18661,1113523659,2262466,4328771908,2176654059,2210876466,6869353,<not supported>,2281123,<not supported>,2121290,<not supported>,<not supported>,2161289942,578638,2644671,53518,2790234,4353447693,2160724523,2167343105,234155,<not supported>,<not supported>,25,9007
3mm_main_polly,26.165410,73252510685,19499289814,3256220755,1747793,1657744797,3386806,22757,1674239794,3400867,6494169708,3266035900,3278219612,8198243,<not supported>,3407519,<not supported>,3909222,<not supported>,<not supported>,3243912699,620465,4398911,251677,2663615,6508510775,3239708503,3249852808,423707,<not supported>,<not supported>,0,15990
atax_main_polly,0.075118,698701374,396665748,8506302,5959357,49669457,847106,39690,53187712,853550,113519448,9885698,66309324,3687742,<not supported>,1239686,<not supported>,754586,<not supported>,<not supported>,2569624,1602500,2154600,2084659,4758509,209298051,585902,37600842,523002,<not supported>,<not supported>,79,33898
bicg_main_polly,0.108152,810122466,515680728,6466733,5865712,59442793,65174,39695,56687102,60000,119187221,9942268,69738208,4159180,<not supported>,1872681,<not supported>,578828,<not supported>,<not supported>,6714586,4588437,1668220,1638982,1165844,143662014,1552035,31505461,475223,<not supported>,<not supported>,187,26970
cholesky_main_polly,0.202877,706849393,1143774356,6066301,973743,94142840,377536,10466,94975320,331298,370793079,22562563,186506776,378650,<not supported>,23478481,<not supported>,101111,<not supported>,<not supported>,3924131,881283,1320548,38566,172916,450177361,232339,228546993,696315,<not supported>,<not supported>,1172,1151
doitgen_main_polly,0.240282,825692370,1765611250,4655793,1947628,157565207,291259,16644,165910839,279494,582232033,31209075,46251693,2972171,<not supported>,6070877,<not supported>,668573,<not supported>,<not supported>,3462912,1349355,4190404,240113,738136,741280425,195791,11446025,281,<not supported>,<not supported>,0,196
gemm_main_polly,0.319767,1004442000,2508834955,3383538,277346,72388600,352624,15375,74914662,215407,442856145,33985482,53495660,3124037,<not supported>,33868745,<not supported>,99692,<not supported>,<not supported>,4668928,155651,84951,2380,81625,440957556,76491,3367724,25689,<not supported>,<not supported>,0,115
gemver_main_polly,0.177015,1006407097,525286537,9231820,8586214,56875207,76163,39730,61504599,78973,203101007,13385789,116197155,3793432,<not supported>,4286684,<not supported>,755789,<not supported>,<not supported>,8412123,5106846,1854229,1924234,7613,189238224,1179912,90905015,518070,<not supported>,<not supported>,15,31561
gesummv_main_polly,0.111955,1118273803,531560988,9843520,9267850,75001950,286363,70939,73384773,380854,149544421,12404876,98468941,5109903,<not supported>,7029743,<not supported>,142959,<not supported>,<not supported>,6321740,5250112,4492706,4225455,9681,199279623,2602244,119528516,965377,<not supported>,<not supported>,31,88557
mvt_main_polly,0.107140,789228205,448897812,6578762,6211130,51544557,56494,39697,57100339,60634,129970188,11743729,75627787,4487207,<not supported>,2072497,<not supported>,795985,<not supported>,<not supported>,7417070,4817216,1667005,1618014,6616,135349730,1534427,71990972,895659,<not supported>,<not supported>,845,33456
symm_main_polly,12.997864,36533549361,6469449357,1182042919,1184455,497185142,2012245,14560,519932206,2049342,2758987744,2765557333,587076676,504703058,<not supported>,2983735,<not supported>,2292363,<not supported>,<not supported>,1165909686,1383187,30263165,405900,593515,2813358566,1074565039,540715038,4004878,<not supported>,<not supported>,0,7720
syr2k_main_polly,2.569944,7332916085,14559073278,237559575,1543799,1117966518,1261907,14563,1122157558,1240377,5475547274,418683626,1103833228,6649647,<not supported>,330189499,<not supported>,1012602,<not supported>,<not supported>,232288500,1552347,55501,17396,111212,5569661855,1059370,1106112046,6076,<not supported>,<not supported>,0,830
syrk_main_polly,1.169011,3440613354,7666602543,12940656,939985,644933388,1129148,12512,646508350,1123141,3324368160,201015191,1086615623,5687851,<not supported>,157627902,<not supported>,950488,<not supported>,<not supported>,13948211,1491045,41124,7226,237262,3452658846,816229,1133481667,1753,<not supported>,<not supported>,0,397
trisolv_main_polly,0.112198,803850646,380997695,12302366,3780274,45167741,35556,39683,48653362,35368,70545814,26440540,69452859,4651339,<not supported>,974008,<not supported>,744451,<not supported>,<not supported>,8780929,1944853,1686842,1638893,21201,65842536,12162569,71178619,960903,<not supported>,<not supported>,313,32596
