Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_polly,1.202953,3498583887,3917036083,7433519,768603,310695509,568769,12329,315071138,569655,1563661930,13809764,1006135586,4728782,<not supported>,5775679,<not supported>,153198,<not supported>,<not supported>,8516310,1359322,126603,19643,2100,1525251314,1086445,1066847368,22347,<not supported>,<not supported>,0,739
covariance_main_polly,1.191131,3465587476,3883801111,7327969,740868,308671724,544828,12327,312316283,541639,1548909651,13815192,996326209,4637786,<not supported>,5795875,<not supported>,230984,<not supported>,<not supported>,8487434,1493371,2726790,439837,719,1600136695,844736,1063053671,25042,<not supported>,<not supported>,0,846
2mm_main_polly,17.417586,48810118929,14107147791,2171175229,1689088,1107054968,2260486,18657,1111585728,2263551,4334666550,2171445054,2208128609,6030851,<not supported>,2146456,<not supported>,2348029,<not supported>,<not supported>,2160385784,1186547,2621656,113687,8994,4325242769,2164177505,2168558448,229610,<not supported>,<not supported>,12,7759
3mm_main_polly,26.139740,73245554789,19510150927,3252664892,2037349,1662933939,3391500,22758,1663574498,3362494,6485238800,3266645243,3279211001,8256653,<not supported>,3378665,<not supported>,4045079,<not supported>,<not supported>,3241862869,1233648,3933096,294077,575996,6491107795,3242259442,3250683127,415632,<not supported>,<not supported>,12,14925
atax_main_polly,0.076188,752154623,400619685,8462896,5946653,48790721,806565,39690,50969385,789424,112336599,7057176,98183226,2620496,<not supported>,5601586,<not supported>,95340,<not supported>,<not supported>,3743363,3459247,2057211,2031687,4664406,191405059,1764827,45394112,543127,<not supported>,<not supported>,45,38946
bicg_main_polly,0.108011,810224533,449272093,8508913,6861345,54342355,892625,39696,54900892,1006627,119609065,12100771,67978786,2460952,<not supported>,4822000,<not supported>,84114,<not supported>,<not supported>,6804208,4652500,2184710,2648701,12334,114763573,558245,49894739,569048,<not supported>,<not supported>,33,42843
cholesky_main_polly,0.203014,689816101,1107071819,6156877,1056489,92303693,361925,10467,95173523,328059,338075317,22963376,185782256,364706,<not supported>,23263004,<not supported>,51370,<not supported>,<not supported>,4587564,807730,1436086,3785,171385,449760110,229753,228210390,676471,<not supported>,<not supported>,2369,2014
doitgen_main_polly,0.243208,840503263,1798815358,4672884,1942825,157304363,283654,16642,170785006,272192,586913493,30877036,48912256,2990485,<not supported>,6474174,<not supported>,711895,<not supported>,<not supported>,3223476,964745,3941974,1009337,849827,705936708,199800,11770934,325,<not supported>,<not supported>,0,139
gemm_main_polly,0.319800,1007170955,2686460509,3000976,305072,74686269,431758,15376,75574893,214733,440069916,33716138,52664687,3040495,<not supported>,33400122,<not supported>,55464,<not supported>,<not supported>,4770569,136572,242936,7481,72197,482054954,69421,6781347,31146,<not supported>,<not supported>,0,111
gemver_main_polly,0.179211,1071529224,673542548,8628405,7881652,54492020,73524,39728,59132205,75616,153036142,10594168,108066890,4163801,<not supported>,3985113,<not supported>,472669,<not supported>,<not supported>,8569121,6403872,1663241,1608362,1673258,213662215,1341601,90146464,641502,<not supported>,<not supported>,24,30115
gesummv_main_polly,0.113545,1081027770,520130539,9533759,8968680,73437819,299158,70941,73528099,345348,149896567,10331665,74897563,4373069,<not supported>,4868755,<not supported>,156931,<not supported>,<not supported>,5087069,3881856,4415336,4457434,64186,145704150,945697,98025905,852948,<not supported>,<not supported>,138,86706
mvt_main_polly,0.107072,793011396,413177819,6877325,6461519,54252837,61002,39697,59112646,64738,130222078,11530269,70168390,2908491,<not supported>,3434966,<not supported>,594210,<not supported>,<not supported>,7870104,5066118,1587052,1555601,7285,161334702,926447,56535828,532355,<not supported>,<not supported>,104,39981
symm_main_polly,13.000146,36595328983,6486654139,1184876453,1231805,495638344,2599583,14561,503221969,2565418,2775542049,2741096836,555742997,540901574,<not supported>,3776704,<not supported>,2445006,<not supported>,<not supported>,1166593338,1417625,30082290,378696,231367,2699070928,1061241884,574137890,3658395,<not supported>,<not supported>,75,14365
syr2k_main_polly,2.634842,7405291165,14568097584,230332401,1521811,1118176453,1124521,14562,1121828951,1125113,5460587626,423863823,1104972837,6637351,<not supported>,336312564,<not supported>,964803,<not supported>,<not supported>,227997543,1212130,26728,35438,860897,5508363904,1077198,1106023755,7021,<not supported>,<not supported>,0,889
syrk_main_polly,1.165110,3453586455,7672104741,11497150,942563,645272469,1098832,12511,647157675,1089331,3326161915,202796394,1088450503,5362404,<not supported>,159615832,<not supported>,855301,<not supported>,<not supported>,12082444,1256908,35511,16043,239438,3445686749,898958,1137204059,1406,<not supported>,<not supported>,0,434
trisolv_main_polly,0.111195,766646250,342429906,12240218,3739492,44874673,35834,39679,47287858,35402,69153665,19530001,76780978,4723852,<not supported>,1785093,<not supported>,799123,<not supported>,<not supported>,9429530,1962496,1691776,1637289,1056,72887929,9862955,89912482,573951,<not supported>,<not supported>,1172,39504
trmm_main_polly,3.670683,10389800111,5562412320,71538663,1214016,561979983,1502510,12512,566328618,1480297,1591321379,620962732,561760541,53148261,<not supported>,102592581,<not supported>,975513,<not supported>,<not supported>,68225929,1350238,48426,3237,25412,1670161547,380020996,555004892,101232,<not supported>,<not supported>,0,1171
durbin_main_polly,0.459906,2035596343,436994261,45161626,6861629,72840480,151744,70947,106408900,204643,202904663,57565884,134169318,18972558,<not supported>,3226079,<not supported>,182259,<not supported>,<not supported>,29057885,149440,14952438,6479454,21376,94020726,23286014,103006301,10954005,<not supported>,<not supported>,26,66380
dynprog_main_polly,0.198385,650235525,1466411477,6261203,1103840,152152777,565072,8522,153378915,760550,454769303,27020447,222141834,22229898,<not supported>,15855970,<not supported>,131830,<not supported>,<not supported>,6444505,1122,253414,401,448,603400815,525,287169862,185,<not supported>,<not supported>,74361,72
