Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O1,5.320116,19119603057,3554800611,131894852,634160,514353901,561966,12171,521941689,558111,1028668195,1125669971,524945012,1477841,<not supported>,3999016,<not supported>,767385,<not supported>,<not supported>,131344330,849998,585068,36978,5916,1055680381,751540725,512086064,577474,<not supported>,<not supported>,0,3968
covariance_main_O1,5.291737,18989027096,3572157165,115746257,666334,519335914,580922,12172,524672996,588348,1028463267,1115901385,528876481,1424869,<not supported>,3755021,<not supported>,713523,<not supported>,<not supported>,114656255,858154,995364,252894,2184,1017145372,752421238,509147128,526577,<not supported>,<not supported>,0,2820
2mm_main_O1,13.561881,48778468077,18384263055,2168950899,1835695,2180995131,2240089,18506,2192211274,2251114,4331961385,2176404757,2194704562,5862659,<not supported>,2171601,<not supported>,2067371,<not supported>,<not supported>,2157073304,2113273,2403583,115086,3311,4328065692,2164904138,2168731468,212004,<not supported>,<not supported>,263,9305
3mm_main_O1,20.320611,73037001896,25921648812,3252305998,1771216,3261666566,3340305,22605,3284394274,3375403,6504940514,3264229208,3274988749,7666731,<not supported>,3280534,<not supported>,3307338,<not supported>,<not supported>,3244478504,1925478,3445050,291653,3591,6484578860,3244366301,3249984719,406736,<not supported>,<not supported>,3366,27224
atax_main_O1,0.039833,663052203,594936654,4091470,2520793,95143962,37032,39535,98625011,37448,261457966,18796591,97597679,3957799,<not supported>,1560373,<not supported>,118779,<not supported>,<not supported>,685700,180324,3153127,2390731,25933,59897134,758948,84803367,729110,<not supported>,<not supported>,15,37336
bicg_main_O1,0.041852,692005710,525829073,2942196,1991195,57820136,28036,39543,62384479,28572,259944069,12646164,100580720,5651568,<not supported>,8803020,<not supported>,98871,<not supported>,<not supported>,919039,531472,3093146,2560336,24016,62604710,775068,88666856,742863,<not supported>,<not supported>,32,37284
cholesky_main_O1,0.198536,653212956,1167717933,2744764,973463,167123706,304675,10314,165237748,279966,354876484,24194482,11716965,1640167,<not supported>,24067579,<not supported>,70476,<not supported>,<not supported>,7849934,70791,2233,292,151864,438534078,761238,672571,646,<not supported>,<not supported>,0,174
doitgen_main_O1,0.381483,1428857407,2320652939,3299213,1243118,278483995,2000912,16488,273321938,1910246,543907200,252597416,279529790,1730754,<not supported>,16924486,<not supported>,106224,<not supported>,<not supported>,3921233,185122,349389,148223,278974,604481055,70212,307933397,35289,<not supported>,<not supported>,0,4799
gemm_main_O1,6.811260,24437853716,9761075019,1085393992,1230246,1100117528,1137199,14406,1108575065,1138897,2177205382,1088264488,1115576053,4094184,<not supported>,4008173,<not supported>,734515,<not supported>,<not supported>,1079178534,2354790,1175617,5111,1435,2166864472,1082787452,1084361106,185864,<not supported>,<not supported>,25,2962
gemver_main_O1,0.228187,1310551117,917149886,24431347,4875582,107031249,42520,39576,86706669,35805,95043191,47142445,115390649,2556711,<not supported>,16969497,<not supported>,118524,<not supported>,<not supported>,23143947,4906565,3131897,2068686,126349,92690229,18157836,80999086,442179,<not supported>,<not supported>,103,26922
gesummv_main_O1,0.045377,954034060,644249249,5909576,4243101,76256092,75401,70786,81165288,78368,251338630,11747243,134299298,7213349,<not supported>,2257860,<not supported>,167748,<not supported>,<not supported>,1720302,313467,6863730,3960996,2950730,180161966,869199,152681987,672926,<not supported>,<not supported>,14,62445
mvt_main_O1,0.202420,1232295211,680534240,24124801,4965131,107872842,41326,39542,92829392,35297,89024888,44279174,71617090,3280312,<not supported>,2949225,<not supported>,140049,<not supported>,<not supported>,19649144,2133118,2902082,2315100,22136,87510381,17162288,93476519,661102,<not supported>,<not supported>,0,32757
symm_main_O1,11.875934,42630701687,5981155072,1620528692,1443324,567768439,1163162,14408,577577990,1174646,2706882863,1827939986,581737979,538937925,<not supported>,4312468,<not supported>,1346256,<not supported>,<not supported>,1618864501,2283968,182488,11462,7621,2702230626,1485968746,544213555,87503868,<not supported>,<not supported>,50,4948
syr2k_main_O1,1.894862,6834808314,14156872810,13512560,1691254,1082168952,1083305,14405,1088208234,1092006,4328361834,329204821,2154802952,2591482,<not supported>,288016531,<not supported>,292905,<not supported>,<not supported>,16552881,3522315,64561,33242,2869407,4407164804,4366563,2204056244,3761,<not supported>,<not supported>,0,907
