Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O1,6.776946,19207390569,3582702153,133883815,548594,518476974,567283,12172,527770859,572810,1026837274,1121342035,540083215,3126944,<not supported>,2854501,<not supported>,631465,<not supported>,<not supported>,131749016,342716,641730,64959,602,1032014664,753359727,529796259,555791,<not supported>,<not supported>,2309,39750
covariance_main_O1,6.759456,19133956570,3566484541,126727577,443989,515964971,553215,12171,520817950,554034,1028813829,1129814725,544724202,3211789,<not supported>,1812249,<not supported>,631838,<not supported>,<not supported>,124632477,289117,621037,69833,1034,1039261104,751861003,511005904,591156,<not supported>,<not supported>,7799,34529
2mm_main_O1,13.595194,48813357490,18517464154,2170010019,1788604,2178829018,2231795,18507,2186965035,2234846,4368863999,2176125528,2209757699,4706072,<not supported>,2275788,<not supported>,2127987,<not supported>,<not supported>,2163910230,491059,4528867,1386155,7616,4351027782,2156020758,2220234820,226973,<not supported>,<not supported>,87,10331
3mm_main_O1,23.148181,73252531407,26095954999,3255429845,1961833,3260486116,3317696,22605,3268570545,3314591,6530633267,3251327233,3274245413,6393029,<not supported>,3233886,<not supported>,3266257,<not supported>,<not supported>,3244774154,514749,5865900,1573718,9227,6503829026,3237987183,3300704973,416620,<not supported>,<not supported>,651,24703
atax_main_O1,0.041344,964437352,995277453,4860346,3334693,116190640,52464,39536,103332361,67560,259312127,3402941,84930893,3078433,<not supported>,99138,<not supported>,153355,<not supported>,<not supported>,129768,96928,4567417,3274994,3611987,439458602,851569,149637744,388750,<not supported>,<not supported>,40,27715
bicg_main_O1,0.041733,992487673,789691259,2376448,2045265,78875927,46226,39544,88064922,59224,277343055,3953298,87690307,3518484,<not supported>,118713,<not supported>,163396,<not supported>,<not supported>,139357,94727,4072210,2410943,3851957,401953866,897556,137807391,397488,<not supported>,<not supported>,27,28396
cholesky_main_O1,0.198778,722315409,1318657921,2943351,553273,187012415,350426,10311,178312157,299999,371094295,17551807,48426375,1335114,<not supported>,21158650,<not supported>,22374,<not supported>,<not supported>,2221492,441521,27945,273,221338,473569010,968058,790997,1324,<not supported>,<not supported>,0,403
doitgen_main_O1,0.355402,1455527288,2438464251,928944,543044,285515783,2123494,16486,290209110,2115251,606712352,255866573,301301367,3607315,<not supported>,10475320,<not supported>,149263,<not supported>,<not supported>,357302,183450,260225,78782,1613006,613109909,75356,324370292,42756,<not supported>,<not supported>,0,5069
gemm_main_O1,8.685144,24475044966,9793141147,1084608113,869721,1096496594,1109937,14410,1104571248,1111458,2217153145,1088668796,1108594786,3183007,<not supported>,1023434,<not supported>,652972,<not supported>,<not supported>,1080338856,327094,3230369,1305441,2652025,2367870546,1076127379,1121412734,483981,<not supported>,<not supported>,499,8832
gemver_main_O1,0.277939,1728572587,754046424,27371628,4743957,80977458,35243,39576,85556350,39212,190854341,41165841,121724698,2856877,<not supported>,6691880,<not supported>,115400,<not supported>,<not supported>,25560798,4518943,1806242,1748949,8364901,620096538,14375173,139354581,987985,<not supported>,<not supported>,12,34757
