Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O1,6.777111,19050678471,3607839112,114484959,657807,517931887,547823,12172,519904078,550277,1024313490,1125787395,540910653,3021433,<not supported>,2949534,<not supported>,628457,<not supported>,<not supported>,113088694,372311,624907,65974,575,1032763568,755436908,531982937,554738,<not supported>,<not supported>,375,20566
covariance_main_O1,6.764728,19092004858,3587971037,116651669,459328,517186771,550593,12172,521998542,553278,1026299669,1122973164,541365766,3005384,<not supported>,2911684,<not supported>,590770,<not supported>,<not supported>,114869668,363475,655041,79869,3105,1049081981,754151131,516677703,709661,<not supported>,<not supported>,861,11156
2mm_main_O1,13.719686,48617714330,18495449587,2162305562,1847694,2173718454,2212799,18506,2181473062,2209059,4364837909,2184755938,2192306161,4477174,<not supported>,2255462,<not supported>,1694807,<not supported>,<not supported>,2159616814,635473,4611733,2169555,2133,4341173735,2156410488,2220208194,226815,<not supported>,<not supported>,2246,23334
3mm_main_O1,26.061302,73261070927,26120933004,3257482557,2012598,3261312665,3308024,22605,3267840140,3312239,6526114254,3266294060,3268541409,6379534,<not supported>,3303749,<not supported>,3121767,<not supported>,<not supported>,3244683563,1343002,5734090,2404097,5039,6489145615,3232388665,3298305724,424115,<not supported>,<not supported>,3586,34746
atax_main_O1,0.041413,947259650,985966183,4797263,3218283,112525197,70133,39535,93180382,72433,260968799,3506171,83888996,3687071,<not supported>,113854,<not supported>,164901,<not supported>,<not supported>,119801,84510,3598882,2120943,3727025,396142958,541444,151957401,346432,<not supported>,<not supported>,0,27319
bicg_main_O1,0.041742,967505667,777672925,2374635,2033740,78683485,38839,39544,90101870,75226,284075080,3459345,87392501,3539576,<not supported>,114582,<not supported>,170388,<not supported>,<not supported>,121344,86444,3942320,2238973,3780413,411154483,543787,138074603,372384,<not supported>,<not supported>,13,28600
cholesky_main_O1,0.197806,715808504,1301246730,3090985,1050258,182783238,310870,10311,172685439,284367,345944642,17400039,69708664,263844,<not supported>,19279400,<not supported>,40669,<not supported>,<not supported>,7230914,384223,1832,497,167787,464570594,846516,707198,923,<not supported>,<not supported>,0,66
doitgen_main_O1,0.458338,1529933248,2520811330,1279797,650783,286261478,2108792,16488,288959222,2124240,624740894,252914488,290629917,3654389,<not supported>,10188371,<not supported>,129571,<not supported>,<not supported>,605897,147404,272691,184660,2053826,628161327,75018,336056104,41544,<not supported>,<not supported>,109,5838
gemm_main_O1,6.776158,24521328535,9781423887,1087350364,894131,1100999112,1138231,14409,1110472453,1128187,2210698119,1089422948,1110237743,3614004,<not supported>,1140741,<not supported>,781626,<not supported>,<not supported>,1080064242,308763,3088222,488385,3052734,2366109433,1076894668,1107119223,201938,<not supported>,<not supported>,0,2846
gemver_main_O1,0.224236,1558883277,1113007921,24401947,4677029,113332459,38575,39576,92967048,31393,212927565,47136891,137281586,2606808,<not supported>,17083349,<not supported>,155258,<not supported>,<not supported>,23598645,4916652,3802904,2412397,1554620,443474516,17034894,147426365,433724,<not supported>,<not supported>,85,30650
