Program,Runtime,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
2mm16_main_mlir,14.099744,56050241488,70241015232,2172140600,1555128,5663801822,11236795,18509,5669894050,11226200,26516672484,2259207693,7672850034,5275094,<not supported>,39968088,<not supported>,7974148,<not supported>,<not supported>,2179629235,982183,4333813,484633,3763421,26536401758,2179245333,7667885595,2355031,<not supported>,<not supported>,27400,1267901
2mm17_main_mlir,14.051876,55966971118,70325650455,2185001345,1636900,5620263335,10563425,18510,5630419542,10451217,26545448113,2255255906,7693209548,7491993,<not supported>,38540672,<not supported>,8517980,<not supported>,<not supported>,2160747548,936796,5385397,1072513,3839999,26619294600,2170529090,7668043517,2259325,<not supported>,<not supported>,351575,1273338
2mm18_main_mlir,14.103106,56058362767,70138788150,2162284505,1840948,5663596203,11111520,18508,5670255658,10936195,26547211866,2268519353,7687606846,4166651,<not supported>,39779281,<not supported>,8212484,<not supported>,<not supported>,2171607047,1033269,2625023,124859,1614487,26492751931,2178168908,7680198662,3898937,<not supported>,<not supported>,204579,1419981
2mm19_main_mlir,14.107944,56176725384,70235942055,2172231758,1400754,5657496149,11016200,18507,5666965544,10993145,26499376202,2257730728,7692651698,5703588,<not supported>,39848844,<not supported>,8255596,<not supported>,<not supported>,2172012361,998117,4514725,669840,3749311,26674810441,2194508041,7665654848,2357581,<not supported>,<not supported>,279755,1487433
2mm20_main_mlir,14.040601,55930529878,70185880160,2154788741,1716348,5637288320,10818432,18510,5653208051,10900840,26503687902,2258229756,7676485312,3658290,<not supported>,38373800,<not supported>,10262620,<not supported>,<not supported>,2147784086,882587,3883871,197340,3665185,26672590856,2192281123,7677577539,2317451,<not supported>,<not supported>,14498,1226074
2mm21_main_mlir,14.029679,56089777221,70264521029,2174323414,2017755,5668275632,10842364,18509,5654881060,10774717,26513429758,2245410478,7671284632,4776350,<not supported>,35567684,<not supported>,10090690,<not supported>,<not supported>,2167472559,992771,2618050,131609,1073404,26494340966,2189282568,7667791587,2279043,<not supported>,<not supported>,10569,1198428
2mm22_main_mlir,14.022897,55909842485,70404747451,2187120723,1634322,5656748459,11219090,18510,5663005861,11199231,26419755815,2250932663,7672054246,5593005,<not supported>,36981010,<not supported>,8461796,<not supported>,<not supported>,2166263913,880977,5388990,890292,4033526,26628041414,2189782217,7675757828,2262218,<not supported>,<not supported>,11937,1159059
2mm23_main_mlir,14.063116,56035192210,70277099794,2179883215,1587312,5644015441,10616151,18508,5652643289,10558670,26596108792,2267684150,7689850520,4291355,<not supported>,36871007,<not supported>,10987066,<not supported>,<not supported>,2165365061,1311315,4844989,721608,4006529,26538106167,2180681333,7670340997,2325459,<not supported>,<not supported>,26729,1223460
2mm24_main_mlir,13.948396,55797829219,70283158611,2187592546,1908407,5619734576,10434409,18508,5645601964,10740958,26458132862,2245831963,7690233502,4825749,<not supported>,35154166,<not supported>,8814332,<not supported>,<not supported>,2161496993,843440,2672302,150108,968712,26544874211,2190391152,7687211630,2201996,<not supported>,<not supported>,141153,1157433
2mm25_main_mlir,14.090447,56134061256,70525371928,2182906917,1515616,5675789689,10992287,18510,5649258260,10718023,26416882458,2252766623,7649711886,4384952,<not supported>,36611655,<not supported>,8325250,<not supported>,<not supported>,2177290444,851191,5478454,1035162,3971530,26578073521,2173895538,7703019176,2401208,<not supported>,<not supported>,68913,1424208
