Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O3,5.533361,19049850137,3091442671,117119389,565632,265728665,553881,12172,273519360,553238,1034298410,1128016303,541726153,2709468,<not supported>,6458854,<not supported>,594821,<not supported>,<not supported>,115631883,397340,686382,101490,998,1025950722,752673735,538132535,568506,<not supported>,<not supported>,640,15857
covariance_main_O3,6.348005,19162309078,3085196830,130714084,470404,266455129,547118,12170,272633794,551597,1027929506,1119747890,544962276,2671426,<not supported>,5921377,<not supported>,569442,<not supported>,<not supported>,129116578,397269,699493,49938,1822,1036400860,753257539,516396652,573232,<not supported>,<not supported>,899,10802
2mm_main_O3,13.822257,48942798667,14180251425,2169832385,1181592,1106082058,2219895,18508,1115495609,2220555,4345610157,2176375261,2194163653,4852265,<not supported>,2025689,<not supported>,1832914,<not supported>,<not supported>,2157120124,460958,5247795,1480714,2370007,4566535089,2154567113,2203706758,238001,<not supported>,<not supported>,1562,18004
3mm_main_O3,20.655864,73091801466,19603775007,3250012150,1901471,1649127136,3306905,22604,1659062227,3308562,6533285091,3274266597,3275097735,6477019,<not supported>,3208285,<not supported>,3014184,<not supported>,<not supported>,3238758903,1264026,5495884,2456655,2569,6512983498,3230107506,3292586509,432445,<not supported>,<not supported>,4813,61265
atax_main_O3,0.030283,902786139,808970214,4524820,3177236,79984444,44983,39533,84245418,57081,287335089,4864298,80592509,2910412,<not supported>,72769,<not supported>,130648,<not supported>,<not supported>,95629,69218,4272347,4024656,4301,202177553,568866,122134107,357566,<not supported>,<not supported>,97,28796
bicg_main_O3,0.052577,953793425,752117641,2387279,2127546,76497655,30314,39540,80704749,31202,378440568,12838399,111653018,4078227,<not supported>,1536660,<not supported>,166856,<not supported>,<not supported>,899392,278901,4628039,2753545,1617565,405503303,404343,132331136,433894,<not supported>,<not supported>,160,31165
cholesky_main_O3,0.198799,698123378,972675302,2985816,286790,100302085,359683,10312,96280304,315433,367869683,22515932,42795279,343191,<not supported>,22343170,<not supported>,29931,<not supported>,<not supported>,4157402,426329,1951,396,210081,453408112,928324,801067,634,<not supported>,<not supported>,0,84
doitgen_main_O3,0.451547,1422164756,1823867439,3532201,679647,155473255,2093107,16488,163223198,2135593,644619731,285830816,306450369,3399175,<not supported>,2014890,<not supported>,140787,<not supported>,<not supported>,2969674,275191,287841,162153,1310279,623477124,68780,318956984,37217,<not supported>,<not supported>,186,5334
gemm_main_O3,7.043273,24442767437,7609955557,1085877538,752035,558901733,1111342,14406,568151882,1116089,2212269124,1089528176,1109934155,3356400,<not supported>,1016640,<not supported>,665737,<not supported>,<not supported>,1080633365,304924,3021526,773321,3104332,2379499685,1075029388,1108751124,210103,<not supported>,<not supported>,1453,16248
gemver_main_O3,0.266597,1594931160,572421205,27276580,4704604,72855922,34092,39575,76517085,37513,192668285,41523430,119585611,3025838,<not supported>,6663357,<not supported>,114085,<not supported>,<not supported>,25800273,7218660,1818878,1740501,6600221,379779382,17901960,145946102,599073,<not supported>,<not supported>,272,36729
