Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O3,5.353939,19044358749,3078831666,120352404,502009,270722188,566094,12174,274723694,564566,1023821649,1127208652,548687979,2384097,<not supported>,6918156,<not supported>,751012,<not supported>,<not supported>,116894199,533660,659285,29959,1258,1026984155,750815019,530675276,573092,<not supported>,<not supported>,0,9366
covariance_main_O3,5.298838,19099279101,3095225737,133903949,677913,273443934,560559,12172,274468929,562654,1025983473,1123700003,555306790,990999,<not supported>,6869658,<not supported>,717946,<not supported>,<not supported>,130770046,779214,662320,46795,1298,1024336044,752448483,508354686,530076,<not supported>,<not supported>,0,3143
2mm_main_O3,13.609379,48853498682,14220391801,2169747348,1702252,1105150622,2230786,18507,1114447120,2233977,4367911629,2181371138,2191333985,4730915,<not supported>,2335551,<not supported>,2018182,<not supported>,<not supported>,2159755409,963420,4716202,1374124,2482,4342904529,2156057227,2220596637,244354,<not supported>,<not supported>,112,8835
3mm_main_O3,20.388837,73284886701,19557874473,3251483217,2399751,1661725212,3304971,22604,1664422881,3300292,6533606077,3266954659,3279352125,6934902,<not supported>,3039236,<not supported>,2887880,<not supported>,<not supported>,3243972174,526013,6511167,1314304,3720305,6686054317,3235828890,3258983407,424922,<not supported>,<not supported>,650,29600
atax_main_O3,0.027398,902943562,808826031,4924578,3053400,79789853,44182,39536,84313135,54471,254001135,4879495,82623381,2952258,<not supported>,87898,<not supported>,145475,<not supported>,<not supported>,121281,90311,4327693,2704427,478342,321776031,399646,123049065,553702,<not supported>,<not supported>,139,29241
bicg_main_O3,0.041538,972493232,759519739,2435738,2168944,77522994,30620,39544,81591281,29697,384280132,12903322,120168501,4741397,<not supported>,1316066,<not supported>,138719,<not supported>,<not supported>,1293630,579774,4600568,2908220,478687,340355826,429658,130996870,586819,<not supported>,<not supported>,118,31428
cholesky_main_O3,0.195310,684626928,948440770,2888750,675870,99146776,343621,10314,98570404,315374,369239110,22538308,43750021,267115,<not supported>,22452484,<not supported>,30155,<not supported>,<not supported>,4288300,414168,1518,143,216596,457297485,933004,795731,703,<not supported>,<not supported>,0,74
doitgen_main_O3,0.380399,1483052481,1902449827,1484822,592242,156230758,1949555,16489,153959685,1965469,606740735,279723868,304340334,3563735,<not supported>,1996586,<not supported>,142538,<not supported>,<not supported>,618171,170658,286324,87456,1864450,635462144,225608,326687287,43327,<not supported>,<not supported>,0,5108
gemm_main_O3,6.766533,24474570266,7646417143,1085818479,870442,560480883,1121468,14405,569311385,1124656,2209726587,1088208355,1109813266,3449057,<not supported>,1092694,<not supported>,792035,<not supported>,<not supported>,1080112932,338026,3184690,586678,3071107,2366087041,1076772203,1111494526,329369,<not supported>,<not supported>,0,4601
gemver_main_O3,0.261657,1678600332,1222151525,24732144,7266159,100084232,75964,39574,97093474,64385,244496364,42435609,95405519,2778569,<not supported>,2254544,<not supported>,146253,<not supported>,<not supported>,24999604,2378765,4089903,3750309,870,301311003,19014523,144483521,515274,<not supported>,<not supported>,129,27443
gesummv_main_O3,0.044772,1696114053,895406192,7378890,6109032,125117716,141665,70786,136184784,99036,524152296,15703051,166674867,4941757,<not supported>,10516757,<not supported>,205711,<not supported>,<not supported>,3563264,1973291,4528255,2903854,5181937,482506482,870569,166768150,781814,<not supported>,<not supported>,256,81252
mvt_main_O3,0.203460,1503833481,824632495,24145114,5379613,82145767,37166,39543,71391107,28235,202823989,41323816,111062564,3901438,<not supported>,2696435,<not supported>,168247,<not supported>,<not supported>,19448901,2125865,4275926,2690789,438047,346876682,16311332,137528806,558822,<not supported>,<not supported>,137,29055
syr2k_main_O3,1.873377,6948200004,14254066639,13624391,1409572,1084805248,1079629,14408,1088659202,1073699,4409058892,330285827,2172232580,1958369,<not supported>,291454086,<not supported>,279696,<not supported>,<not supported>,13073430,902221,2208006,672915,6508921,4493463374,4626291,2191998950,212853,<not supported>,<not supported>,0,843
syrk_main_O3,0.933572,3443208036,7270481841,3038260,468553,550595065,1054807,12359,556679691,1058520,2223896508,135350162,1093679787,2780166,<not supported>,125484121,<not supported>,207521,<not supported>,<not supported>,2800105,182057,5024,12478,1631937,2238743632,2261822,1144107853,1687,<not supported>,<not supported>,0,406
trisolv_main_O3,0.011194,911146263,654386347,4077927,2526116,71148683,45804,39527,62461810,25841,215341241,3075456,75001833,2694817,<not supported>,76936,<not supported>,127864,<not supported>,<not supported>,111717,85890,4411145,4069428,1560347,395165400,412384,124777711,512131,<not supported>,<not supported>,0,26789
trmm_main_O3,0.515250,1856401438,3743782318,5398025,507644,275974295,961705,12361,279345715,916089,1141563729,69905677,556469481,2391506,<not supported>,64318407,<not supported>,112604,<not supported>,<not supported>,4089436,226134,3482,12590,557192,1144598103,2600441,596562232,1001,<not supported>,<not supported>,0,206
durbin_main_O3,0.357649,2824252570,1004356327,39126499,7646600,148638414,144072,70794,152088954,108849,418687889,75047087,127089764,22748940,<not supported>,1296277,<not supported>,233331,<not supported>,<not supported>,30887203,119180,14227301,5078685,6568,352355281,22383078,126344468,10181690,<not supported>,<not supported>,202,89539
