Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O3,5.295435,19021610039,3057159261,125881323,823002,267610711,563653,12175,272206472,562964,1024897247,1110286662,521568927,1601966,<not supported>,3703269,<not supported>,744784,<not supported>,<not supported>,123597646,794436,663254,32012,1284,1021106143,752422047,511734979,555223,<not supported>,<not supported>,0,3098
covariance_main_O3,5.286710,18949808669,3069878094,109836048,329781,273811227,567378,12173,277103045,552549,1030351251,1127018984,524909663,1345314,<not supported>,3886965,<not supported>,594826,<not supported>,<not supported>,110281335,7203,744496,26074,413,1019344320,753196896,512833206,528146,<not supported>,<not supported>,350,5558
2mm_main_O3,16.620129,48683834828,14072384830,2167858725,1855394,1101478880,2222821,18504,1109689818,2232477,4332429586,2179575435,2191417014,5731372,<not supported>,2022546,<not supported>,1636739,<not supported>,<not supported>,2161504940,2032023,2594861,67445,502,4325548975,2164966822,2167236998,245268,<not supported>,<not supported>,389,14017
3mm_main_O3,26.089743,72897849245,19452088655,3248799908,2497405,1646104699,3315095,22604,1655703950,3326668,6492530704,3273694576,3277525665,7708090,<not supported>,3058624,<not supported>,2966206,<not supported>,<not supported>,3246040002,2037556,4142371,278645,2547,6513120612,3234873576,3247729956,451354,<not supported>,<not supported>,3011,32040
atax_main_O3,0.025684,535179076,412553636,3041669,2661663,43455798,30107,39537,42603566,31419,53157715,4653828,70727644,4204322,<not supported>,247754,<not supported>,92571,<not supported>,<not supported>,2607111,2462379,1689630,1062879,3285124,182712308,398765,109883825,407053,<not supported>,<not supported>,177,27188
bicg_main_O3,0.041552,596174772,490370301,2330213,2272094,52962711,44961,39542,63415464,63719,97446537,5394795,78455410,4720021,<not supported>,129536,<not supported>,111198,<not supported>,<not supported>,2820442,1886050,1873368,1168855,3877429,230611050,398677,101382374,425288,<not supported>,<not supported>,0,29196
cholesky_main_O3,0.154452,664466640,898857262,2758189,950548,89527207,306136,10313,90390860,278199,352536673,23937041,10691913,1545771,<not supported>,22710692,<not supported>,74160,<not supported>,<not supported>,8006132,71233,1682,612,151131,437534326,767202,649648,704,<not supported>,<not supported>,0,81
doitgen_main_O3,0.369021,1486042556,1782423630,72912639,1237906,151315678,1979156,16487,150601584,1966711,558312061,241501176,275166175,1660597,<not supported>,6493990,<not supported>,120855,<not supported>,<not supported>,75308482,202615,379656,78237,238459,603979587,73365,304724689,38260,<not supported>,<not supported>,0,4727
gemm_main_O3,6.794272,24346244297,7604202821,1084607613,1254363,559192007,1142730,14409,565943552,1138628,2171651343,1087798603,1112963845,3997451,<not supported>,4055016,<not supported>,833680,<not supported>,<not supported>,1078445308,2452314,1092850,6085,1571,2169562237,1085301485,1086221082,212243,<not supported>,<not supported>,0,7755
gemver_main_O3,0.225362,1215853678,328319151,29535258,4791460,52174460,40635,39574,73114231,48382,210005902,40189307,114619385,5194312,<not supported>,2649899,<not supported>,163670,<not supported>,<not supported>,22382400,5043436,1865801,1181752,3082143,174975665,16581160,70577457,475293,<not supported>,<not supported>,14,29210
gesummv_main_O3,0.045203,869317288,539678990,5962430,5074224,82678335,143004,70786,91047643,138392,138222907,14381148,131212098,4884872,<not supported>,11015644,<not supported>,136957,<not supported>,<not supported>,3754252,2072377,4443724,2595180,5483164,236875258,896643,136002881,784613,<not supported>,<not supported>,13,68207
mvt_main_O3,0.220927,1150262129,288726468,28055411,4440909,54114965,59730,39544,75344991,69419,100182620,36487229,88381879,4447004,<not supported>,1869286,<not supported>,122552,<not supported>,<not supported>,22451440,4488904,1757392,1154181,4593176,199770587,15474792,84773694,454848,<not supported>,<not supported>,13,27549
symm_main_O3,11.835191,42587316220,6010762665,1618988684,1501830,565665485,1149551,14410,566712802,1150815,2704645950,1833715002,580897355,538180123,<not supported>,5003558,<not supported>,1383965,<not supported>,<not supported>,1618897934,2254164,336052,8151,12950,2699494581,1485556595,545110832,86861480,<not supported>,<not supported>,0,10193
syr2k_main_O3,2.408049,6871815140,14159754816,13344805,1892235,1072939920,1069181,14408,1077926669,1072028,4361975691,326382326,2145322400,2518219,<not supported>,289251716,<not supported>,477413,<not supported>,<not supported>,16674882,4094217,11779,502,2725764,4427848264,4395309,2210940050,2938,<not supported>,<not supported>,38,2208
syrk_main_O3,1.170765,3410969292,7127198809,3226085,973606,535045066,1038332,12360,533341318,1027356,2185904241,131047826,1062156984,1895515,<not supported>,132678827,<not supported>,110919,<not supported>,<not supported>,6837426,2153588,4290,0,12364,2281092656,2253120,1140032330,119701,<not supported>,<not supported>,464,2605
trisolv_main_O3,0.012185,473213475,235918197,2753297,2649390,34042136,27226,39524,39009332,29238,48501584,4555447,64155179,3870330,<not supported>,106882,<not supported>,90950,<not supported>,<not supported>,2326302,2144789,1559445,966433,3101631,100790471,1684607,73357052,961031,<not supported>,<not supported>,114,48559
trmm_main_O3,0.506789,1815660825,3664492140,5097243,1011792,273171126,854131,12357,273309326,822490,1092480340,67507508,534128183,911324,<not supported>,67329322,<not supported>,68805,<not supported>,<not supported>,9721158,499808,3405,465,151114,1162645273,1678562,582102113,821,<not supported>,<not supported>,0,237
durbin_main_O3,0.374357,2035525223,432931412,43554712,6848375,75365599,135031,70795,94760862,125417,184270818,63309755,104133620,22369406,<not supported>,1831984,<not supported>,177421,<not supported>,<not supported>,29969209,168134,14535926,4908468,7642,101115898,23014733,90924145,10927511,<not supported>,<not supported>,13,64410
dynprog_main_O3,0.189907,647300420,1435256582,4238393,890020,146876289,1382442,8365,147163613,1379270,469983715,27562988,242183383,29327598,<not supported>,18973841,<not supported>,25043,<not supported>,<not supported>,4452657,423,185778,332,166,580208129,680,275430042,151,<not supported>,<not supported>,164540,70
gramschmidt_main_O3,1.956302,6963874150,814981986,269259819,1101605,83453423,303879,9801,86298602,288832,287055078,271520954,152268378,67876077,<not supported>,52037,<not supported>,253820,<not supported>,<not supported>,274271739,142886,373552,33860,1430,275047103,267693912,137800133,6620133,<not supported>,<not supported>,0,694
lu_main_O3,0.251671,946997932,2491922706,13181898,904008,175026293,476953,10310,173349949,498130,1040581331,44147057,315864021,40495199,<not supported>,43157743,<not supported>,77421,<not supported>,<not supported>,19719213,55226,2805,419,390,1247726593,1039483,414142106,59898,<not supported>,<not supported>,0,106
ludcmp_main_O3,1.540238,5551400491,1933001271,31601120,1051544,204158667,824993,10322,192251204,729080,633374233,334376834,13578051,1813938,<not supported>,37472094,<not supported>,185649,<not supported>,<not supported>,35297574,123180,9863,913,57626,758570390,212097272,1755751,30018,<not supported>,<not supported>,0,600
floyd-warshall_main_O3,0.682533,2593485076,7131817625,41773805,1568417,526609525,996890,10312,521799522,987857,3232232216,131949352,1095287597,139416139,<not supported>,135058411,<not supported>,70557,<not supported>,<not supported>,49821905,1058,10277,759,236,3355177882,2197604,1148003461,59434,<not supported>,<not supported>,12,1830
reg_detect_main_O3,0.010425,57822906,30030695,637052,690020,7010941,7239,8266,9114690,7174,28966643,3413328,51203031,1891,<not supported>,11522,<not supported>,28533,<not supported>,<not supported>,13216,21327,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
adi_main_O3,1.085559,3985218120,2139564186,11271857,2857063,170767804,226425,14409,172090152,226962,737639813,95756402,278983125,40202839,<not supported>,81236665,<not supported>,169830,<not supported>,<not supported>,18147155,5481901,21248,4879,15467077,759059535,1402272,247756432,50779,<not supported>,<not supported>,0,558
