Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_O3,5.293026,19081119969,3074827373,122409649,582915,268448427,561775,12174,274003398,563825,1032310587,1128848875,539513100,2960560,<not supported>,6338997,<not supported>,775305,<not supported>,<not supported>,120566604,448821,677425,43546,1349,1018869837,753328048,533041281,556504,<not supported>,<not supported>,0,9058
covariance_main_O3,6.803397,19020149963,3058648129,116699277,432324,267814600,550256,12172,273101673,555086,1024495912,1131918771,543892890,2936516,<not supported>,5665882,<not supported>,614234,<not supported>,<not supported>,114429177,385380,697430,82425,1060,1028792234,751726893,509554658,571773,<not supported>,<not supported>,2019,16056
2mm_main_O3,15.794181,48835448523,14217948444,2164542531,2482993,1110130167,2232175,18509,1123993843,2220630,4374265566,2177626782,2187694936,4589474,<not supported>,1989632,<not supported>,1580135,<not supported>,<not supported>,2167183044,439021,4708505,2064236,2139,4332303150,2153388500,2215340628,227369,<not supported>,<not supported>,1001,24928
3mm_main_O3,26.141858,73008202836,19711979346,3246036811,2219273,1652201126,3306257,22604,1656780936,3308246,6526078592,3273672794,3270054704,6630209,<not supported>,3140065,<not supported>,3046984,<not supported>,<not supported>,3238438328,445877,6328705,2443955,2275,6502224347,3237188336,3299803797,444184,<not supported>,<not supported>,1174,40266
atax_main_O3,0.030265,889084878,825163301,4829743,3031664,78719725,48933,39536,87558786,73965,249415707,3240456,81783958,2909639,<not supported>,85054,<not supported>,146962,<not supported>,<not supported>,105933,77629,4360377,2508714,1820883,391344459,381756,125077678,424632,<not supported>,<not supported>,0,28823
bicg_main_O3,0.052558,986231898,790931284,2506203,2226983,83556828,47679,39540,95433271,73050,275960757,3470719,90511481,4516288,<not supported>,117019,<not supported>,157226,<not supported>,<not supported>,121216,146330,2462078,1706428,2845834,382971378,390499,135967560,353318,<not supported>,<not supported>,0,28066
cholesky_main_O3,0.195271,674601071,979169566,2944850,851515,105674578,304196,10311,95589829,277348,414630267,23698970,87935677,1363677,<not supported>,21848999,<not supported>,42199,<not supported>,<not supported>,8498489,139988,2130,778,126646,415017025,699140,597720,676,<not supported>,<not supported>,0,441
doitgen_main_O3,0.451587,1511093278,1871993299,41596962,947476,157000434,2013315,16486,155845190,2002705,584908495,265355253,291873216,3334284,<not supported>,1973054,<not supported>,135633,<not supported>,<not supported>,39768114,199093,355230,211082,271767,629413351,831686,319937195,39842,<not supported>,<not supported>,0,4931
gemm_main_O3,8.671866,24381783653,7598955993,1085336148,801022,564761722,1128769,14409,577009412,1116173,2225386956,1094440878,1112505781,3209272,<not supported>,995987,<not supported>,696039,<not supported>,<not supported>,1082652639,633429,3304725,1186830,2958312,2353836929,1071769194,1116495788,281532,<not supported>,<not supported>,2042,14766
gemver_main_O3,0.219973,1557765577,844161459,27690405,5927910,71555254,37015,39575,69424316,30523,211685863,46384563,135024397,2596349,<not supported>,17105279,<not supported>,154376,<not supported>,<not supported>,23804975,5191749,3769034,2351652,1048325,412825536,16726396,142691469,435708,<not supported>,<not supported>,100,30440
gesummv_main_O3,0.045243,1672670299,973733753,7862924,5917211,127980713,145598,70783,126940039,86314,523916236,16347945,165235995,4738743,<not supported>,10441396,<not supported>,201852,<not supported>,<not supported>,3416238,1887231,4397863,2865535,5179907,477681601,826951,165512190,886073,<not supported>,<not supported>,228,84459
mvt_main_O3,0.248963,1619774459,964165864,24077186,5928418,104888641,71426,39544,70348252,30935,220622771,39335954,91456107,2673975,<not supported>,2097661,<not supported>,141011,<not supported>,<not supported>,24221174,2186361,3922102,3712878,3141,273883642,17678510,145173193,400059,<not supported>,<not supported>,203,26920
syr2k_main_O3,2.409237,6979105428,14328131518,13633338,1581799,1081564349,1076024,14410,1083875901,1065234,4433950581,327074994,2162162672,1817726,<not supported>,287562543,<not supported>,255065,<not supported>,<not supported>,12906942,1089794,2232691,1270415,6609266,4516777979,4420812,2213136865,188411,<not supported>,<not supported>,37,2359
syrk_main_O3,0.912949,3454956753,7286948534,3018847,467621,551720794,1053297,12358,555824182,1055574,2222720738,139041390,1092483510,2610971,<not supported>,125734479,<not supported>,218702,<not supported>,<not supported>,2772150,235803,6831,13285,1721282,2241965302,2261633,1142813485,1662,<not supported>,<not supported>,0,406
trisolv_main_O3,0.012645,879927952,459377990,2660492,2803405,55554447,32175,39529,60677004,31620,276107800,6390413,120287091,2470014,<not supported>,13616702,<not supported>,93331,<not supported>,<not supported>,4851516,2395254,2280397,2603504,671,227597169,478796,79086685,525409,<not supported>,<not supported>,0,41892
