Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_mlir,5.334293,19291072387,2586532124,186264628,580797,143563522,569567,12175,149091894,570925,1159623831,1164785940,550763277,2876329,<not supported>,49125575,<not supported>,776813,<not supported>,<not supported>,180215118,395871,705205,79180,4298,1135816823,753830059,536208423,552617,<not supported>,<not supported>,0,8764
covariance_main_mlir,6.843170,19249928004,2589437784,164943637,382397,142875017,570757,12168,153143715,578726,1158475688,1175143179,540912219,3291361,<not supported>,50358238,<not supported>,650621,<not supported>,<not supported>,162288464,404366,588458,28150,2720,1166691635,753805623,519397746,583750,<not supported>,<not supported>,12,4907
2mm_main_mlir,14.438352,51889642946,12263015272,2174916809,1292901,570174668,2285514,18506,582978997,2307531,4928997485,2180926253,2194745188,2754713,<not supported>,10699969,<not supported>,1448823,<not supported>,<not supported>,2168107739,760716,3122717,1841973,2903252,5109623373,2155471945,2193865334,68912,<not supported>,<not supported>,2104,12776
3mm_main_mlir,21.816858,78271672745,16764020809,3261135779,1964521,860024343,3481818,22606,868339161,3468378,7339464047,3275631395,3277975764,3806581,<not supported>,15990935,<not supported>,2938705,<not supported>,<not supported>,3255580279,857394,3353269,2315542,22074,7327908011,3235916408,3306633187,153144,<not supported>,<not supported>,50,15466
atax_main_mlir,0.033218,935705006,777818086,3531477,2507709,65173819,39021,39535,69377054,39005,336346814,8270303,112469290,3909196,<not supported>,558235,<not supported>,159406,<not supported>,<not supported>,299442,75149,4412096,2797757,4810,267002073,444284,124693564,394608,<not supported>,<not supported>,171,30105
bicg_main_mlir,0.053638,964364535,702861063,2421810,2153895,56655838,29719,39544,60962174,29109,343050312,12687476,118544578,4834396,<not supported>,2516336,<not supported>,135535,<not supported>,<not supported>,1174765,516725,4633297,2756106,378841,330677793,407570,129476476,467437,<not supported>,<not supported>,193,31693
cholesky_main_mlir,0.287698,982071019,960758557,2763310,760731,61637105,386355,10314,61428502,350885,408249406,22268383,86456275,379527,<not supported>,22431189,<not supported>,37019,<not supported>,<not supported>,3403433,369184,3238,1026,120724,477307687,688818,59132020,70230,<not supported>,<not supported>,472,2093
doitgen_main_mlir,0.476600,1629399810,1697216291,74025602,761221,94486850,97936,16491,102897884,110313,670267336,264179728,298004217,3365717,<not supported>,2076501,<not supported>,171550,<not supported>,<not supported>,67061540,201023,266043,191775,817859,693926711,79020,328886499,42398,<not supported>,<not supported>,1013,9908
gemm_main_mlir,7.222370,26037778821,6568383103,1089582115,890373,292643504,1154781,14409,301457693,1157202,2478651805,1090271119,1109423631,2456175,<not supported>,5482094,<not supported>,888283,<not supported>,<not supported>,1081711951,524076,2219355,555088,3093971,2634788232,1076670670,1110410898,18338,<not supported>,<not supported>,0,2809
gemver_main_mlir,0.325231,2040107369,984180813,27803857,6770935,99933860,85295,39576,106396838,77695,283138684,43461834,134564439,6291921,<not supported>,13189802,<not supported>,140325,<not supported>,<not supported>,16744945,4084024,1836513,1694599,3901236,362481910,17506007,122659113,373333,<not supported>,<not supported>,174,30415
gesummv_main_mlir,0.045950,1673944846,939680465,7675080,6003188,125250315,158854,70787,125685547,81840,532355328,16539479,165494676,4905669,<not supported>,10941182,<not supported>,217023,<not supported>,<not supported>,3301550,1848883,4451098,2936205,5316325,480126857,899512,165982297,724769,<not supported>,<not supported>,331,80968
mvt_main_mlir,0.298688,1742761656,801059222,23430715,4237040,111604506,783910,39540,119448242,372216,287815794,39281899,105999237,4629951,<not supported>,2073439,<not supported>,169456,<not supported>,<not supported>,23307460,2273028,2044639,1622342,2737711,323194346,17422002,112535652,395073,<not supported>,<not supported>,0,29910
syr2k_main_mlir,4.640875,13183129866,20100447930,9032491,477853,1189751806,1384224,14408,1194699772,1385139,5460204246,317354817,2174231913,2694884,<not supported>,294067347,<not supported>,424255,<not supported>,<not supported>,8417228,147043,2169225,618750,3677357,5570266781,670507,2199921449,72969,<not supported>,<not supported>,0,1631
syrk_main_mlir,2.932345,9836333134,14676771936,3104955,497906,1189947197,2176091,12360,1196955432,2181042,3279000387,140071729,1110393787,2990808,<not supported>,133145233,<not supported>,363031,<not supported>,<not supported>,2548656,182502,19722,19733,1485271,3285370133,93235,1098836873,4934,<not supported>,<not supported>,101,1408
trisolv_main_mlir,0.013089,850303570,592195801,3800712,2640256,74494645,65998,39527,80997506,50770,220857295,3167323,77124159,2777582,<not supported>,69284,<not supported>,127755,<not supported>,<not supported>,94162,71301,4105667,3772459,5368,275850415,372457,115084204,383597,<not supported>,<not supported>,66,27839
trmm_main_mlir,0.878847,2640162709,3301710197,5358707,528721,149773593,1104450,12359,150932840,1034468,1267149530,69895892,557505672,2354323,<not supported>,66252188,<not supported>,163688,<not supported>,<not supported>,4296074,263549,6872,14278,719075,1293585115,2066316,579930468,1427,<not supported>,<not supported>,1187,2233
durbin_main_mlir,0.385095,2866733323,774782843,44712082,7553392,89031996,100617,70794,125829460,158560,567346712,65640325,176765253,23507852,<not supported>,1479320,<not supported>,254437,<not supported>,<not supported>,31708933,397878,12763788,4749480,9981,348987390,22895079,127263301,9961507,<not supported>,<not supported>,12,70959
dynprog_main_mlir,0.314205,1002647548,2169913585,4208744,807897,123338165,315146,8366,123502153,300185,684159842,31124505,291157189,20026986,<not supported>,23922015,<not supported>,65741,<not supported>,<not supported>,3967101,58581,106239,329,233,683897992,824,324315762,233,<not supported>,<not supported>,549,641
gramschmidt_main_mlir,1.966412,7005507546,857555168,270879614,527212,48044490,289388,9802,56744972,302754,306538973,268674222,182567919,66391355,<not supported>,3809462,<not supported>,212265,<not supported>,<not supported>,267124179,404509,264119,35978,1830,293760918,265262548,138402010,10527549,<not supported>,<not supported>,0,850
lu_main_mlir,0.292934,1045728030,2896311660,10640440,163035,103014915,597561,10309,105912211,622701,814602192,39913307,336890565,37293042,<not supported>,39036576,<not supported>,26263,<not supported>,<not supported>,10065040,871530,2054,476,367,967903069,1074762,451105580,124872,<not supported>,<not supported>,0,99
ludcmp_main_mlir,1.744481,6196554123,1861013137,32583826,205043,107567409,897555,10321,111509792,851045,766423496,331444215,126974096,2114242,<not supported>,39129694,<not supported>,160866,<not supported>,<not supported>,28812677,353713,41722,6255,296350,892983788,212096532,102544596,38222,<not supported>,<not supported>,12,1496
floyd-warshall_main_mlir,1.466494,4247365037,11596287918,15638029,476433,1162086819,33516676,10311,1162441631,33450376,3284903173,258147751,1079529529,123069923,<not supported>,188106193,<not supported>,138731,<not supported>,<not supported>,15472519,316633,11578,2554,203033,3389804186,80957,1131165662,1478,<not supported>,<not supported>,337,890
reg_detect_main_mlir,0.017951,75289232,42295788,849918,846362,9516349,10914,8265,12009393,9878,73250557,2410420,38906491,131788,<not supported>,954884,<not supported>,18877,<not supported>,<not supported>,221834,41297,2608,648,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
adi_main_mlir,1.417947,5203331604,2243624561,5674398,1696790,62893885,227660,14408,68487281,226785,1144838982,91638250,335106665,40155625,<not supported>,85067568,<not supported>,233869,<not supported>,<not supported>,6582519,1932283,2234964,1214007,16769858,1279562766,1969188,380367625,168983,<not supported>,<not supported>,78,887
fdtd-2d_main_mlir,0.238603,934339785,1549506057,18279277,2280217,49406687,175568,14121,54513795,175292,616109479,43297370,160033640,18562959,<not supported>,39485631,<not supported>,71849,<not supported>,<not supported>,24855125,3933893,2429941,2185872,3216136,594667188,786931,206008623,7654,<not supported>,<not supported>,148,952
fdtd-apml_main_mlir,0.518596,3973991360,2921827518,11534332,9775318,185813535,337113,174294,194307321,410339,1198897562,41388203,410391310,18824831,<not supported>,18937257,<not supported>,1091823,<not supported>,<not supported>,1383091,530567,9226785,5930765,7153165,1138115556,2877166,358458497,1294135,<not supported>,<not supported>,449,563595
jacobi-1d-imper_main_mlir,0.001388,59637076,29092918,759061,773989,7668115,7498,8302,9204022,6272,91609169,1793211,26742002,1840625,<not supported>,2061633,<not supported>,65647,<not supported>,<not supported>,546650,190880,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
jacobi-2d-imper_main_mlir,0.051630,338184649,462391083,6087918,179700,19987936,59264,12171,22129859,59482,142813148,2389278,43847143,3165650,<not supported>,87691,<not supported>,85609,<not supported>,<not supported>,100074,94354,856365,0,3720277,217583696,842161,96908291,204211,<not supported>,<not supported>,0,33
seidel-2d_main_mlir,0.263195,960494102,380823959,404811,364794,31957608,41213,10215,36635544,55340,201328032,2953043,57878245,2615561,<not supported>,1825478,<not supported>,54757,<not supported>,<not supported>,365369,387419,28693,217,856,227563384,3411,25293272,217,<not supported>,<not supported>,299,344
