Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.605108,4618203430,13423548553,5329798,736775,161210284,821708,12328,166315900,840715,6528747117,9775283,604369353,1681840,<not supported>,6889660,<not supported>,172281,<not supported>,<not supported>,6383706,923681,2372976,119279,14855,6478394772,871913,612200906,2594,<not supported>,<not supported>,0,1121
covariance_main_pluto,1.585201,4645821478,13310212987,5475492,771633,159161558,1041197,12324,163072124,1057338,6468024435,9914702,605064250,1704434,<not supported>,5867219,<not supported>,374611,<not supported>,<not supported>,6715281,1140884,1926469,7523,777,6557144138,1195127,615495906,2319,<not supported>,<not supported>,0,559
2mm_main_pluto,10.645917,29761330154,61791418145,17929519,1286822,105429258,1466199,18660,107628827,1476992,27217295945,1513463747,2234163113,960497035,<not supported>,56315250,<not supported>,1629156,<not supported>,<not supported>,15785276,303680,124947,33710,3765641,27144353699,2107503,2224754395,156340,<not supported>,<not supported>,100,11201
3mm_main_pluto,16.000922,44844135589,90959284609,27945636,1377454,151958046,2238752,22759,165326272,2241604,39110508852,2319414361,3333139425,1451923555,<not supported>,102534787,<not supported>,2505276,<not supported>,<not supported>,25183964,1347870,164461,61882,1117779,39132738254,2948428,3353434984,50646,<not supported>,<not supported>,0,5356
atax_main_pluto,0.154700,928494482,1232544022,8613444,7209601,45053772,80968,39688,47910618,80289,624900751,9275213,118911505,4860500,<not supported>,2581387,<not supported>,689915,<not supported>,<not supported>,4383950,3224000,1901234,1867547,1328195,537866167,1060805,96297444,444517,<not supported>,<not supported>,0,29884
bicg_main_pluto,0.155618,915731630,1235940124,8260057,7195447,46082023,73546,39695,48289374,76317,585406640,9703708,114301339,4879110,<not supported>,1337194,<not supported>,656497,<not supported>,<not supported>,3829543,3204655,1880990,1443630,825090,604399396,1057046,101321451,457343,<not supported>,<not supported>,14,29496
cholesky_main_pluto,0.594306,1795776886,5458761304,2386622,1027022,356892474,442494,10466,356350119,415361,2206437685,24907126,361171964,481231,<not supported>,25907333,<not supported>,148501,<not supported>,<not supported>,3508981,742365,3577,832,348150,2367352064,715949,396397187,655,<not supported>,<not supported>,0,436
doitgen_main_pluto,2.624570,7463358087,13426316565,9527743,615711,20585213,50307,16643,22980340,50504,4910849240,548227236,299040660,260885492,<not supported>,9002698,<not supported>,701956433,<not supported>,<not supported>,6969321,647466,1921512,56100,1505231,5035293448,774622,305150096,299281,<not supported>,<not supported>,832,5111
gemm_main_pluto,5.298719,14822484507,31671783394,9874008,991066,58151065,779986,14561,64930919,785654,14132759719,719954024,1131712748,468729305,<not supported>,20943526,<not supported>,1474776,<not supported>,<not supported>,9888487,1135022,84069,80416,1436371,14254912540,1221366,1114751953,7323,<not supported>,<not supported>,113,2516
gemver_main_pluto,0.258004,1269029274,1877389539,8839246,7166561,76078312,119673,39730,89658658,127218,937737362,10750199,143028426,5502216,<not supported>,7214134,<not supported>,845164,<not supported>,<not supported>,6459454,4753442,1793504,1765813,8827,1199478258,993188,127045404,492202,<not supported>,<not supported>,0,32810
gesummv_main_pluto,0.136552,1218113676,1150599983,8366122,7605438,67569835,313653,70939,66126949,122027,559405819,11576084,149769690,4906279,<not supported>,5354615,<not supported>,151600,<not supported>,<not supported>,3123552,2517202,4565924,4366126,858866,414083140,2106046,161031285,1467622,<not supported>,<not supported>,1129,87439
mvt_main_pluto,0.299887,1330960696,1313965432,8452722,6242099,85833360,126486,39698,90999949,127053,768339278,11106762,148475817,4103201,<not supported>,3681431,<not supported>,520094,<not supported>,<not supported>,6213771,4307862,1639634,1613120,26233,673418042,2334791,154640586,832694,<not supported>,<not supported>,910,34938
symm_main_pluto,13.775911,38322764652,25308501455,1621709099,1360864,1092245648,1141431,14560,1098489402,1140266,13445622402,1807801338,1651391760,538573032,<not supported>,645850,<not supported>,2098061,<not supported>,<not supported>,1615899153,1413898,80051,54611,24581,13476784871,1545587374,1621843237,38804798,<not supported>,<not supported>,25,4783
syr2k_main_pluto,8.319119,23232833163,63064006043,41659437,1082577,74802928,800344,14563,81553341,798943,28239452599,2502064387,2240052545,58239747,<not supported>,16798382,<not supported>,2274869,<not supported>,<not supported>,43079583,1440192,180092,256012,1322282,28433993923,310423,2224689977,23971,<not supported>,<not supported>,0,50916
syrk_main_pluto,3.947821,11402424920,31859089099,7329645,1036889,78378247,467394,12513,78355180,429338,14236997603,716137748,1161346018,38926700,<not supported>,20842484,<not supported>,1346190,<not supported>,<not supported>,7494626,1110919,120617,245233,966836,14408982652,94202,1148713005,4743,<not supported>,<not supported>,25,14016
trisolv_main_pluto,0.060749,664870391,578847041,4429558,3766705,33954734,39252,39681,38453533,41694,243889500,5910883,80268657,4411011,<not supported>,818710,<not supported>,354093,<not supported>,<not supported>,1208463,773171,2201820,2060575,2409018,92348982,1150697,56530737,531789,<not supported>,<not supported>,15,32874
trmm_main_pluto,3.689592,10501203763,31582160417,80809433,1221153,2314290895,3063177,12511,2315614591,3021716,15642955478,124929576,2319950572,3244313,<not supported>,95074190,<not supported>,1109283,<not supported>,<not supported>,80477161,1261104,65756,2799,26527,15758863641,6765323,2338859780,10540,<not supported>,<not supported>,0,4250
durbin_main_pluto,0.540289,2269388702,1131088591,44734289,7060199,119798257,174741,70949,117034635,140091,405091472,70406333,128725101,19358714,<not supported>,9890032,<not supported>,175482,<not supported>,<not supported>,40557019,1698981,8103594,5135095,8441,413268855,32565129,109593977,9857664,<not supported>,<not supported>,115,65107
dynprog_main_pluto,1.376587,3913882755,9798156503,11894253,955934,413360175,3955379,8519,416370444,3981421,4435381444,69448863,439641892,43602671,<not supported>,34535668,<not supported>,320636,<not supported>,<not supported>,6051656,49741,6127241,404,772,4620017210,6268,432380939,1087,<not supported>,<not supported>,0,2132
gramschmidt_main_pluto,0.720791,2139083599,4439734334,27554426,1114856,54002414,366125,9950,56197106,361378,1972250434,84036161,176639377,31382529,<not supported>,14557912,<not supported>,124707,<not supported>,<not supported>,26261176,341638,359991,22043,2793,2057987370,10105931,171274054,273293,<not supported>,<not supported>,0,462
lu_main_pluto,1.857286,5336963037,13198467366,6454331,935300,122175797,838785,10464,129565220,859279,5597257187,212170032,439468794,157493481,<not supported>,26213651,<not supported>,254983,<not supported>,<not supported>,7072205,525479,52551,8313,123794,5815631087,554078,432346310,9022,<not supported>,<not supported>,152,1495
ludcmp_main_pluto,2.382145,6773923978,10605357908,30719548,972587,727831140,956261,10475,726310609,923098,4314317450,368496796,746471222,1039882,<not supported>,42063592,<not supported>,223066,<not supported>,<not supported>,30771865,642420,12061,1284,115968,4459897833,211045568,747749322,37297,<not supported>,<not supported>,0,772
floyd-warshall_main_pluto,8.124746,22763799308,51961815160,186803757,970443,2608437852,5388826,10461,2610388315,5385592,26096882774,786963283,2618928634,553567604,<not supported>,172366311,<not supported>,1252340,<not supported>,<not supported>,190799489,1186424,790468,31965,6625,26242908288,49878102,2624401517,156917,<not supported>,<not supported>,781,8420
reg_detect_main_pluto,0.198862,661313630,1472667028,720447,918890,99385150,419593,8421,102401236,477782,600746164,1488675,74267047,14481,<not supported>,2601456,<not supported>,123690,<not supported>,<not supported>,1113508,218955,1518,360,1377,744628491,688,70122427,141,<not supported>,<not supported>,0,418
adi_main_pluto,3.340034,9430196019,18476723902,157064585,8496704,873867438,5530295,14563,860327337,5749239,9337697113,170079225,1096406578,43618986,<not supported>,136630984,<not supported>,1102005,<not supported>,<not supported>,160576657,8633966,38835,14219,20351,9593452987,14378210,1023505807,9072,<not supported>,<not supported>,0,1640
fdtd-2d_main_pluto,1.403977,4144235443,11130816862,4233391,1193750,187975033,1024993,14276,183935054,1028605,4940922512,27300111,299981287,15515707,<not supported>,16660368,<not supported>,399355,<not supported>,<not supported>,2912320,1041810,8827,10877,866975,4955146895,413176,281095755,152381,<not supported>,<not supported>,62,4851
