Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.609963,4621815104,13442086902,5308912,731461,161317795,757542,12327,164465618,769514,6526321421,9855426,615808141,2111948,<not supported>,6744419,<not supported>,551025,<not supported>,<not supported>,6667969,947741,2882996,120897,15685,6514457321,864585,610940370,2400,<not supported>,<not supported>,0,565
covariance_main_pluto,1.589708,4652353029,13309704022,5437867,734298,158850375,1117056,12322,163557713,1151421,6464718402,10048635,600666043,1665897,<not supported>,7331658,<not supported>,169095,<not supported>,<not supported>,6471418,1028239,1178807,1124,704,6548543860,1160144,613067671,2470,<not supported>,<not supported>,0,534
2mm_main_pluto,10.594584,29739175763,61928539886,17973691,1223484,101816975,1453846,18658,106575270,1457418,27205264991,1509750214,2235170492,960071687,<not supported>,57206129,<not supported>,1928499,<not supported>,<not supported>,16425338,961682,108248,43354,1071787,27159974206,1536109,2227932826,375613,<not supported>,<not supported>,1055,13626
3mm_main_pluto,16.060275,44884717203,91196960780,27251091,1105415,138602019,2158731,22757,151492905,2195967,39208690608,2295488379,3305310350,1460903024,<not supported>,101890576,<not supported>,2382584,<not supported>,<not supported>,25579731,467411,227758,45173,3869267,38824088967,3521673,3371730993,261053,<not supported>,<not supported>,237,10594
atax_main_pluto,0.155260,912407706,1210864382,8634170,7138975,61671016,90132,39689,76211421,111705,393728855,9613676,89478265,1956758,<not supported>,7581759,<not supported>,95867,<not supported>,<not supported>,5954545,4468079,1815781,1770046,13675,658429293,1007325,94065842,441134,<not supported>,<not supported>,13,28559
bicg_main_pluto,0.157134,963902886,1214005574,7862014,7029282,47743353,80361,39695,66186513,90803,411653819,9168554,94159848,2574805,<not supported>,4253476,<not supported>,421065,<not supported>,<not supported>,5347009,4015571,1855350,1790613,12648,642097098,1006081,96904000,508942,<not supported>,<not supported>,0,34840
cholesky_main_pluto,0.594827,1778639307,5386417800,2621594,1278921,354385468,439501,10467,356523105,413830,2198415220,24479828,369124935,405942,<not supported>,25668806,<not supported>,146992,<not supported>,<not supported>,3574312,710187,3318,394,347518,2356819317,713242,394517808,611,<not supported>,<not supported>,0,217
doitgen_main_pluto,2.621952,7480951911,13411335632,8949764,1045952,18447619,48890,16643,22925273,49974,4926753052,550006983,317911869,257152884,<not supported>,7179384,<not supported>,704105876,<not supported>,<not supported>,5736632,555074,3007225,169527,689545,5025901625,849024,303760757,278902,<not supported>,<not supported>,950,9067
gemm_main_pluto,5.284083,14809054167,31680672369,9655964,983355,58062807,729574,14562,73018753,757986,14149858800,722107694,1131578398,468427710,<not supported>,21362444,<not supported>,1419904,<not supported>,<not supported>,9720572,1231216,73185,196261,1457114,14260249778,1206941,1114704921,6307,<not supported>,<not supported>,0,1725
gemver_main_pluto,0.254514,1224720442,2001831215,6039740,4451033,74928110,120032,39727,79017137,109051,1266808541,10606801,146837452,6787624,<not supported>,3358383,<not supported>,202418,<not supported>,<not supported>,4415581,2613753,2029182,1773389,4286031,876245055,950368,125845647,470370,<not supported>,<not supported>,13,28494
