Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.607097,4824736741,13417301072,5391146,729162,161642467,1318346,12325,166932238,1315282,6522828392,11479269,609915779,2057058,<not supported>,7184590,<not supported>,196928,<not supported>,<not supported>,6252761,636107,1475738,41175,230,6537952273,801842,609960909,3971,<not supported>,<not supported>,0,3264
covariance_main_pluto,1.620880,4656580395,13329364686,5522761,839994,159829788,1052707,12326,163841419,1080684,6495795486,10033766,599809602,1610030,<not supported>,7327782,<not supported>,171798,<not supported>,<not supported>,6192013,668407,1216940,1594,1385,6529199866,1068429,615453526,2576,<not supported>,<not supported>,13,630
2mm_main_pluto,10.587951,29764466802,61909393062,19431327,1360557,101416313,1416797,18659,107875526,1429228,27081674400,1508965915,2232357788,960659460,<not supported>,56250973,<not supported>,1860264,<not supported>,<not supported>,17594421,856498,124551,53059,1646399,27134798365,1470660,2220974525,94760,<not supported>,<not supported>,49,8374
3mm_main_pluto,15.999104,45060525643,90898614276,34066680,1933654,155052160,2074831,22757,148390393,2076603,39195530992,2306724966,3317684702,1458763655,<not supported>,102070528,<not supported>,2384962,<not supported>,<not supported>,30912799,1025049,151770,34618,3603820,39043113686,2910311,3350024167,224493,<not supported>,<not supported>,901,10196
atax_main_pluto,0.156690,910583399,1221314227,8491500,7160594,46104747,77445,39687,51845763,91179,541577528,10043906,100934761,4518887,<not supported>,2577978,<not supported>,1008380,<not supported>,<not supported>,4966838,3588695,1903539,1843306,82491,651018938,994904,95656785,388174,<not supported>,<not supported>,0,29458
bicg_main_pluto,0.159000,896469336,1270879550,6627391,6100309,41694485,73525,39697,51574223,90529,509018399,9853700,108315591,4955225,<not supported>,1515471,<not supported>,1001483,<not supported>,<not supported>,4574377,3616508,1906952,1825673,39688,641726965,974799,94456025,388624,<not supported>,<not supported>,0,29524
cholesky_main_pluto,0.594510,1782618998,5413449851,2361519,1077664,354587139,431275,10467,356738553,407295,2193370045,23925061,358644203,381822,<not supported>,24124831,<not supported>,155389,<not supported>,<not supported>,4457630,565603,3518,1032,186730,2355703559,688390,394433362,760,<not supported>,<not supported>,0,208
doitgen_main_pluto,2.629689,7491129454,13426373827,9492486,1226601,18771671,47237,16641,22852756,49077,4925856593,550049005,308432933,262629388,<not supported>,5525038,<not supported>,703040242,<not supported>,<not supported>,5742383,1166618,1898768,894699,335271,4992255902,918203,295498147,131463,<not supported>,<not supported>,175,9233
gemm_main_pluto,5.293683,14959572281,31620115890,11362258,1050129,58928116,728623,14563,65109539,724367,14174480208,727031620,1133322641,471740556,<not supported>,21392066,<not supported>,1447867,<not supported>,<not supported>,11384423,1256504,83875,265461,1591147,14225489366,1585743,1119370509,6028,<not supported>,<not supported>,0,1667
gemver_main_pluto,0.251479,1199341769,1888728365,8770399,6616142,74962822,123480,39729,77747414,106027,1112959881,11169237,157354920,6922984,<not supported>,2900341,<not supported>,621568,<not supported>,<not supported>,4305517,2976045,1811023,1770408,2449797,1103650719,952802,127728527,412056,<not supported>,<not supported>,0,28094
gesummv_main_pluto,0.123953,1105620132,1235897914,6406138,5837896,69375908,180811,70939,70552812,370242,573295317,12817521,141573185,4274971,<not supported>,5086747,<not supported>,147924,<not supported>,<not supported>,2558672,1997240,4182902,3579358,3608363,540139449,971775,150647374,855710,<not supported>,<not supported>,248,87402
mvt_main_pluto,0.298250,1299033229,1309957402,8570297,6347681,87393125,122885,39696,89450072,124924,754726554,10828244,147975365,4133856,<not supported>,3719174,<not supported>,833416,<not supported>,<not supported>,6437657,4424435,1662237,1606285,57157,702621099,1071477,135979687,464849,<not supported>,<not supported>,15,31957
symm_main_pluto,10.815206,38693506760,25312536049,1622129267,1344315,1090416183,1127706,14560,1097265794,1135828,13450982676,1831820779,1652049730,538672604,<not supported>,596358,<not supported>,1906735,<not supported>,<not supported>,1612993599,1583118,85224,26013,11042,13464092617,1547978385,1622930555,40350191,<not supported>,<not supported>,527,6733
syr2k_main_pluto,8.247092,23209173934,63084590388,44680299,1322874,77533598,733443,14560,80125584,730084,28254783116,2498215548,2243681268,55706129,<not supported>,21565844,<not supported>,2133476,<not supported>,<not supported>,47182777,1274674,348473,271457,907543,28378663675,360913,2219992381,22788,<not supported>,<not supported>,565,10620
