Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.317175,4781331803,13260308409,5668016,1122931,166234885,1147178,12324,170900469,1396714,6491466124,11042103,614875684,3848659,<not supported>,4146454,<not supported>,151981,<not supported>,<not supported>,7403808,844699,22215,955,549,6706157154,842115,617156899,2526,<not supported>,<not supported>,968,3342
covariance_main_pluto,1.247263,4564751130,13027567636,6039001,878600,161508190,946453,12323,169129713,1055234,6478543843,11375461,617852713,2218273,<not supported>,3265049,<not supported>,169830,<not supported>,<not supported>,6797736,802437,5127,709,784,6716600443,840685,615816734,92893,<not supported>,<not supported>,1918,7984
2mm_main_pluto,8.256219,29798067263,61929897908,22438193,1075607,101921665,1465227,18658,114386131,1459117,27208062278,1506498156,2257813687,951048670,<not supported>,59779558,<not supported>,1967606,<not supported>,<not supported>,22688432,1002163,1546564,785418,1854094,27294506911,1345628,2213136034,16537,<not supported>,<not supported>,3983,7079
3mm_main_pluto,12.495319,45031542749,91255192040,34196695,1685418,155934363,2115609,22754,169301804,2079018,39153467485,2303886231,3348385047,1458005435,<not supported>,107946968,<not supported>,2406584,<not supported>,<not supported>,33956965,1307970,4012923,1108533,3300424,39054646317,2848307,3317100965,23856,<not supported>,<not supported>,10400,70594
atax_main_pluto,0.134945,926092889,791417537,7668607,6258034,46795579,272232,39688,48827472,315295,582687176,9489552,93105315,2159793,<not supported>,5136113,<not supported>,71262,<not supported>,<not supported>,6740899,5546519,1983551,1989342,82409,536380196,571927,106516509,649060,<not supported>,<not supported>,767,48582
bicg_main_pluto,0.137166,927611835,764589768,7118622,6215271,48083451,267234,39695,60029102,310300,608051299,8908464,91172500,2121081,<not supported>,4310453,<not supported>,72124,<not supported>,<not supported>,5328744,4483274,2053912,2003038,81732,507938949,594795,101347686,670131,<not supported>,<not supported>,205,48882
cholesky_main_pluto,0.480444,1788633330,5413475861,2259455,1097481,348574915,418211,10466,344563153,418802,2131520590,24933456,359204894,1115660,<not supported>,24176997,<not supported>,66649,<not supported>,<not supported>,5368306,123267,1616,724,91167,2364001920,583902,397999933,569,<not supported>,<not supported>,556,870
doitgen_main_pluto,2.056282,7470697565,13427594948,10095052,1688704,51762442,218557,16644,42700786,52613,4913307284,549117368,291307989,260579698,<not supported>,7717203,<not supported>,697901140,<not supported>,<not supported>,5715084,277302,1284062,5031,424817,5016124146,716547,279103202,2894,<not supported>,<not supported>,21745,34424
gemm_main_pluto,4.137367,14865998645,31629323550,11584408,953345,61836345,759637,14561,70561926,749870,14111237507,724888328,1122083520,461672984,<not supported>,25184467,<not supported>,465295,<not supported>,<not supported>,11930521,756453,166480,28614,399175,14355943161,1491070,1123400037,5354,<not supported>,<not supported>,3403,5125
gemver_main_pluto,0.198575,1180458596,1746651980,9291078,8159027,70512940,290497,39728,70953885,331352,1110622963,9710925,155154276,6442991,<not supported>,4099928,<not supported>,166117,<not supported>,<not supported>,5235054,3134365,2552831,1456565,1556,1129900018,1279733,131893637,588243,<not supported>,<not supported>,187,40736
gesummv_main_pluto,0.093069,944477691,1265821923,6677196,5250995,68216657,247556,70941,71480767,265852,813725612,11194162,134767707,5986367,<not supported>,3178539,<not supported>,147343,<not supported>,<not supported>,2049797,1264470,5794708,3369375,4377050,546000749,714481,150497035,557516,<not supported>,<not supported>,593,44187
mvt_main_pluto,0.229473,1289868574,1224738239,8822723,6911509,86058288,258187,39696,89207309,365527,556261012,10428210,130051371,2295163,<not supported>,4483851,<not supported>,83960,<not supported>,<not supported>,6801163,4483577,1902992,1204818,15506,661991280,1144123,139680680,651116,<not supported>,<not supported>,15,44374
symm_main_pluto,10.652964,38589927167,25305072601,1618256884,1665753,1100973051,1122238,14563,1099449936,1112794,13436716585,1824784133,1649456474,534839905,<not supported>,3971214,<not supported>,848776,<not supported>,<not supported>,1615875122,1160687,30046,5126,9715,13465708564,1549707102,1623144749,40149335,<not supported>,<not supported>,2401,10763
syr2k_main_pluto,6.422355,23466899006,63086876570,40472055,1059346,79588947,776559,14562,86957084,775742,28217550487,2521594458,2229446964,49788123,<not supported>,22288255,<not supported>,937050,<not supported>,<not supported>,41107399,747644,189907,29906,603911,28257089726,309819,2227322014,20130,<not supported>,<not supported>,2363,5804
syrk_main_pluto,3.149310,11190264079,31842174270,7885503,818540,76673621,409785,12512,80330020,394859,14199253404,712328668,1148787974,36304929,<not supported>,23234676,<not supported>,339683,<not supported>,<not supported>,7575185,471509,19798,2126,146042,14422687323,84880,1151366592,3355,<not supported>,<not supported>,2570,2827
trisolv_main_pluto,0.046929,657969693,301174994,4308897,4253031,44379476,261873,39680,42640959,270425,105709574,5113372,54913209,2251118,<not supported>,807070,<not supported>,63827,<not supported>,<not supported>,2721146,2073125,2057761,1191192,3016,234158786,905837,113033592,737728,<not supported>,<not supported>,69,65242
trmm_main_pluto,2.873176,10466790047,31568361680,81072907,1300068,2309739271,3301418,12514,2304709101,3291172,15368234060,124216565,2288896460,2600879,<not supported>,94038915,<not supported>,391821,<not supported>,<not supported>,79934214,443258,49645,2333,4742,15825408705,6432203,2346760457,9523,<not supported>,<not supported>,6037,13528
durbin_main_pluto,0.452975,2195397776,1036491277,51110558,6195361,100446421,177519,70948,146640044,252891,460768765,73075954,129886562,21835818,<not supported>,6185484,<not supported>,173829,<not supported>,<not supported>,39451469,1034442,9398893,6730169,661229,396719807,31614492,115711778,10532155,<not supported>,<not supported>,144,45003
dynprog_main_pluto,1.061745,3856983069,9751932706,10454044,1463496,411564495,4047702,8520,412455594,4264249,4435335779,67109134,415348907,45514998,<not supported>,35381374,<not supported>,237469,<not supported>,<not supported>,5208768,3749,4416555,1719,1644,4658278375,4720,436133463,647,<not supported>,<not supported>,13139,5570
gramschmidt_main_pluto,0.558719,2131166103,4319190931,26142738,1124584,57373982,392820,9951,62665517,623480,1877521601,76084512,191903703,34138216,<not supported>,12873650,<not supported>,92771,<not supported>,<not supported>,28663643,2575,289519,23912,9176,2103543389,10257608,170242821,362928,<not supported>,<not supported>,0,3400
lu_main_pluto,1.456968,5362453839,13268267455,5890889,949489,127202120,800593,10464,126738606,767248,5584578450,202669008,444889909,159240696,<not supported>,22672262,<not supported>,204132,<not supported>,<not supported>,5284963,93489,17548,2165,216455,5768716970,609385,439283263,10201,<not supported>,<not supported>,428,2912
ludcmp_main_pluto,1.854979,6792947076,10571186851,31858498,1180336,731882761,960336,10473,727426547,1072873,4281666155,369932121,749252668,803248,<not supported>,39187710,<not supported>,170804,<not supported>,<not supported>,31921288,209514,6844,1472,165603,4444799697,213715033,741335783,34880,<not supported>,<not supported>,201,2885
floyd-warshall_main_pluto,6.325232,22811848445,51930324237,183329064,1113461,2604141436,5386710,10462,2605919894,5500170,26096616960,803681259,2622901841,554349692,<not supported>,172313887,<not supported>,843025,<not supported>,<not supported>,187720061,277441,716689,4739,4238,26256126945,50147357,2629266904,125516,<not supported>,<not supported>,2313,32314
reg_detect_main_pluto,0.157112,677833691,1476367203,852313,886327,83811033,331191,8417,88882761,567404,499895197,5483284,84211887,616347,<not supported>,4339,<not supported>,34321,<not supported>,<not supported>,3748,714,614,200,288,764354393,526,72125531,137,<not supported>,<not supported>,2143,3350
adi_main_pluto,2.616872,9452774962,18704215094,159510820,9652565,867313296,5199492,14561,869309228,5390868,9402178851,177937370,1011772782,40678714,<not supported>,134497765,<not supported>,273832,<not supported>,<not supported>,158415556,9766082,127822,3268,32344,9538899074,13786093,1016481465,6448,<not supported>,<not supported>,807,6596
fdtd-2d_main_pluto,1.089329,4082902744,11319903364,3155423,1123362,181882696,1115443,14276,188297858,1124243,4895803267,26697726,301790006,14330539,<not supported>,19997392,<not supported>,890647,<not supported>,<not supported>,6161380,1670988,8288,1155,426853,5099822130,413450,282288835,32011,<not supported>,<not supported>,525,4230
fdtd-apml_main_pluto,1.348269,5773827732,7569182799,23012639,14227649,273938823,531298,174446,297832293,569931,4059453748,31899789,431917285,15257465,<not supported>,13711293,<not supported>,840254,<not supported>,<not supported>,13676408,5207381,9033198,5031879,4311342,4283110237,3494493,415956700,1192634,<not supported>,<not supported>,433,535847
jacobi-1d-imper_main_pluto,0.010785,66369546,35947526,751058,806726,9261637,9364,8451,14081167,155609,16583253,2629675,18417356,405347,<not supported>,292214,<not supported>,67933,<not supported>,<not supported>,181800,26886,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
jacobi-2d-imper_main_pluto,0.236345,1024605076,2230166695,1981965,1258845,62044347,593264,12324,62545101,612247,1029636046,3994452,88212256,1344195,<not supported>,5374942,<not supported>,501003,<not supported>,<not supported>,1991458,693338,276826,212516,22708,1297005477,16594,81274651,8793,<not supported>,<not supported>,3521,5586
seidel-2d_main_pluto,0.356596,1437686262,3681686128,969996,834048,95758076,261783,10369,98662794,222397,1514218329,5389360,121733312,1049283,<not supported>,843377,<not supported>,65822,<not supported>,<not supported>,463161,118878,1849,484,23189,1855204801,3507,97662271,446,<not supported>,<not supported>,867,1471
