Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.605912,4822968988,13406573602,5459874,727975,161614364,1290130,12324,167257529,1310904,6544098993,9829650,611506602,2988301,<not supported>,5797193,<not supported>,490654,<not supported>,<not supported>,6698077,1098085,1591305,507402,666,6674279292,1023088,602542429,4872,<not supported>,<not supported>,51,1136
covariance_main_pluto,1.589293,4579926636,13342278444,5465484,734678,159704110,1006675,12321,164001508,1001962,6482712946,9961199,600703240,1630345,<not supported>,7892165,<not supported>,257981,<not supported>,<not supported>,6950690,822607,1316770,1008,555,6685037734,795722,613101639,2210,<not supported>,<not supported>,0,1370
2mm_main_pluto,10.263483,29753283300,61959016363,18300108,1276598,108209962,1453451,18661,106952927,1429040,27259680614,1522038103,2229944104,958590389,<not supported>,57909272,<not supported>,1548972,<not supported>,<not supported>,16650113,807999,146891,56058,1882276,27173740675,1506244,2227654603,112481,<not supported>,<not supported>,550,7759
3mm_main_pluto,16.001386,44896512005,90951569693,30384484,1394087,141696111,2137349,22756,147252802,2148196,39069189752,2329011478,3330942075,1453734214,<not supported>,103821481,<not supported>,2486987,<not supported>,<not supported>,27880645,636881,1801696,690370,3987981,39111553027,2794965,3366966688,228001,<not supported>,<not supported>,225,12336
atax_main_pluto,0.154630,926490774,1236934710,8558255,7125446,44105821,101784,39688,46805100,81735,597264419,9840917,130248868,4904418,<not supported>,2507782,<not supported>,765409,<not supported>,<not supported>,4418592,3263479,1911780,1876460,767826,590411424,996458,95904054,394046,<not supported>,<not supported>,0,29807
bicg_main_pluto,0.156310,969149865,1220224175,8080626,7059326,54341964,100587,39697,77158721,120545,395912558,8828028,89613456,1967790,<not supported>,6134319,<not supported>,98521,<not supported>,<not supported>,5331102,4336202,1839895,1808876,567868,639592156,1044500,99405968,454602,<not supported>,<not supported>,81,35130
cholesky_main_pluto,0.595420,1779670981,5408607875,2384272,1067357,354075118,437104,10465,356452750,413317,2192603749,24515687,366758997,426962,<not supported>,25750039,<not supported>,152656,<not supported>,<not supported>,3944750,906499,4014,1437,346186,2353654620,705213,393988594,623,<not supported>,<not supported>,0,180
doitgen_main_pluto,2.627286,7488048456,13407967170,9408384,1302727,25066632,50247,16645,22996424,47868,4935623090,550405248,307969857,266049888,<not supported>,3292630,<not supported>,710685868,<not supported>,<not supported>,5332413,1203108,608305,597647,320938,4982876646,1046143,292778533,108502,<not supported>,<not supported>,1124,1866
gemm_main_pluto,5.249650,14979616157,31563421070,10167821,987847,58251825,783714,14560,65313149,783179,14174542664,735563134,1130451245,473534507,<not supported>,21877266,<not supported>,1404132,<not supported>,<not supported>,9683113,887103,57461,25597,1361506,14277818915,1231412,1112221913,125275,<not supported>,<not supported>,1081,5837
gemver_main_pluto,0.257808,1239255446,1885710468,8546891,6462004,76557045,137419,39727,96122168,143626,958106903,9517048,141886586,5603739,<not supported>,6306016,<not supported>,830076,<not supported>,<not supported>,6124600,4535166,1802913,1757436,13881,1183023319,969261,126000754,422802,<not supported>,<not supported>,0,29618
gesummv_main_pluto,0.117345,1085961373,1165913360,6378942,5347211,65513866,333729,70939,65961992,135635,703299868,11919894,142363144,5528564,<not supported>,4217218,<not supported>,139455,<not supported>,<not supported>,2206613,1024539,5135845,5247006,4054072,543316245,976967,145394042,838675,<not supported>,<not supported>,90,87791
mvt_main_pluto,0.300362,1305238466,1301786372,8306715,6154854,85163601,123750,39693,89877130,126933,752143318,10994341,147303187,4062995,<not supported>,3697625,<not supported>,815541,<not supported>,<not supported>,6417830,4451743,1652789,1624716,54950,693062474,1096874,135633852,479021,<not supported>,<not supported>,0,32084
symm_main_pluto,13.689620,38395468375,25309276146,1620127663,1524907,1091872670,1139479,14559,1098540177,1148934,13443585934,1808447347,1651817414,538166712,<not supported>,592018,<not supported>,2059774,<not supported>,<not supported>,1615808747,1643962,83210,16872,11974,13463425549,1544897614,1623738188,38902612,<not supported>,<not supported>,237,9079
syr2k_main_pluto,8.258510,23130640657,63052771646,39984801,1403297,83765310,784766,14560,88300529,780511,28240081050,2495639621,2239561197,53967098,<not supported>,16521941,<not supported>,2075997,<not supported>,<not supported>,40648289,1207684,239964,291265,1210502,28370407869,333711,2224703969,22341,<not supported>,<not supported>,0,14196
syrk_main_pluto,3.917475,11397727688,31822594490,7348809,1046597,78551436,402076,12511,78660476,397395,14232274525,717059191,1160659193,39157116,<not supported>,23129535,<not supported>,1114490,<not supported>,<not supported>,7942167,1219309,281778,78570,197368,14388989947,89351,1149190397,3602,<not supported>,<not supported>,0,3202
trisolv_main_pluto,0.062460,627816639,550451819,4355981,3736694,34504855,40468,39681,38035672,52678,179799492,6578070,98546663,4872979,<not supported>,829001,<not supported>,952759,<not supported>,<not supported>,1875416,1360338,2080298,2008933,13904,228635250,870639,54590787,479271,<not supported>,<not supported>,15,32001
trmm_main_pluto,3.571798,10525300686,31495879498,80548437,1239303,2314452247,2979472,12513,2315818839,2963965,15629378682,124741229,2320553426,3164460,<not supported>,95098892,<not supported>,1049473,<not supported>,<not supported>,80187659,1235360,83851,3641,9053,15802785962,6636408,2339938183,111263,<not supported>,<not supported>,864,6517
durbin_main_pluto,0.544056,2185816732,1188440654,46559180,7267517,87324007,93809,70944,92512946,343122,402376885,73873946,145608440,23121233,<not supported>,7185933,<not supported>,174538,<not supported>,<not supported>,42728766,1233920,7860880,3547753,23407,403596564,26525082,165086166,8346635,<not supported>,<not supported>,1002,69500
dynprog_main_pluto,1.368340,3920228602,9794832113,12429416,937084,413250490,4086491,8521,416551013,4108929,4474660604,68371960,431870916,43494472,<not supported>,36121871,<not supported>,304675,<not supported>,<not supported>,7100185,291020,5990927,1177,481,4620323770,10866,432173398,1126,<not supported>,<not supported>,126,2609
gramschmidt_main_pluto,0.724430,2124705603,4394601890,26683340,1102248,53674792,342620,9953,56691296,346404,1976637816,74695357,175705251,31282029,<not supported>,14561367,<not supported>,138182,<not supported>,<not supported>,27208475,391562,409483,28982,19621,2049768928,9990393,171204370,274506,<not supported>,<not supported>,0,2960
lu_main_pluto,1.875461,5516635219,13260519416,5380900,989560,123609501,989706,10463,126131499,973661,5589351553,212820957,441399562,164544686,<not supported>,25617550,<not supported>,224121,<not supported>,<not supported>,6703764,460520,25167,5577,81035,5797582028,555287,435045550,55787,<not supported>,<not supported>,1091,4488
ludcmp_main_pluto,2.380796,6803395536,10641875147,30948821,1003313,731013191,967006,10472,730138020,934111,4334581104,366284755,734350857,759052,<not supported>,40483044,<not supported>,327029,<not supported>,<not supported>,29878220,287093,16077,2314,94669,4472387379,210944548,748805385,35782,<not supported>,<not supported>,0,1107
floyd-warshall_main_pluto,8.108430,22752197574,51988828370,188027447,994387,2609092112,5412168,10464,2611516600,5401336,26098346065,785893700,2617316236,548196288,<not supported>,171876255,<not supported>,1107183,<not supported>,<not supported>,191476651,610159,797252,8706,14156,26244462375,49906080,2626456201,155542,<not supported>,<not supported>,12,14824
reg_detect_main_pluto,0.198365,645157823,1429637009,951982,1152577,98684962,412594,8416,101094413,617299,549095698,3150723,76220316,709737,<not supported>,502796,<not supported>,157521,<not supported>,<not supported>,312369,470,169,231,925,733113369,586,69091971,138,<not supported>,<not supported>,0,339
adi_main_pluto,3.339421,9494510218,18674986461,161136308,10799893,864357651,5343414,14560,873872560,5611051,9469983266,175930338,1038374570,42207785,<not supported>,130693653,<not supported>,1152242,<not supported>,<not supported>,158878461,6616421,41581,4152,24056,9435721262,11216912,1068428255,10440,<not supported>,<not supported>,0,1123
fdtd-2d_main_pluto,1.411272,4116693043,11311157799,3441187,1188493,182680266,1038128,14273,183282595,1023248,4929246265,26534604,300707971,15609455,<not supported>,16337735,<not supported>,600997,<not supported>,<not supported>,3052427,1185006,13951,13874,390735,4968642904,1291726,288049796,207749,<not supported>,<not supported>,39,1026
fdtd-apml_main_pluto,1.778111,5936234161,7535814349,23798873,13211410,281496042,513910,174446,251723353,422148,4266716739,33084674,429800526,18357226,<not supported>,9748272,<not supported>,1038866,<not supported>,<not supported>,13648550,5903804,10261653,8783390,4057913,4140322713,3580242,463564450,1046594,<not supported>,<not supported>,428,538628
jacobi-1d-imper_main_pluto,0.010336,67950700,37824033,756092,788477,8580396,15701,8455,10092318,8928,17908082,1630089,25676798,195600,<not supported>,951411,<not supported>,23719,<not supported>,<not supported>,451287,40417,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not counted>,<not supported>,<not supported>,<not counted>,<not counted>
jacobi-2d-imper_main_pluto,0.305356,1047536290,2266104693,1446880,1103500,55792915,684485,12322,60219131,667299,1101714026,4540052,97063364,3274256,<not supported>,948509,<not supported>,1310449,<not supported>,<not supported>,1634752,1062306,106926,34388,31806,1275268170,20266,80178404,97143,<not supported>,<not supported>,1332,5736
seidel-2d_main_pluto,0.458260,1411870467,3658990585,775532,605121,96614766,202030,10367,101803741,196631,1618289879,3214075,101375980,461086,<not supported>,4737684,<not supported>,192218,<not supported>,<not supported>,2032587,889769,3266,323,28176,1846769227,3594,97142890,362,<not supported>,<not supported>,51,681
