Program,Runtime(s),cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetches,L1-dcache-prefetch-misses,L1-icache-loads,L1-icache-load-misses,L1-icache-prefetches,L1-icache-prefetch-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,dTLB-prefetches,dTLB-prefetch-misses,iTLB-loads,iTLB-load-misses
correlation_main_pluto,1.575509,4596643836,13407465169,5778351,353730,161525080,845475,12171,167379596,848995,6488020672,11864164,622484636,4820955,<not supported>,6936790,<not supported>,141234,<not supported>,<not supported>,5512975,318151,1650143,9296,90,6590443731,1022173,609212546,3445,<not supported>,<not supported>,245,6881
covariance_main_pluto,1.545802,4454924483,13150055403,6767572,284132,166784589,664252,12171,164201102,665589,6344079959,11190766,615612425,3058358,<not supported>,8229579,<not supported>,168218,<not supported>,<not supported>,5616296,310344,1945412,7303,879,6568775376,866674,613231048,2299,<not supported>,<not supported>,0,444
2mm_main_pluto,10.524246,29614865334,61594168427,18728271,985181,103030946,1363278,18508,108685028,1357543,27182274712,1491715900,2239600773,946911700,<not supported>,57961750,<not supported>,1595141,<not supported>,<not supported>,15897723,208643,2359312,1310705,1092448,27098926198,1524743,2263413415,17561,<not supported>,<not supported>,138,10226
3mm_main_pluto,16.003549,45052944603,90879274645,29692123,1023933,156381468,2234622,22601,147121231,2160601,39058490587,2264555630,3325909262,1450156303,<not supported>,95289763,<not supported>,2227229,<not supported>,<not supported>,24695979,308140,2718501,1292810,966278,38979282231,2862018,3369418296,536135,<not supported>,<not supported>,163,14425
atax_main_pluto,0.180117,1400138507,1484291635,8186996,6951799,70723253,94144,39536,96178040,106953,473252211,8523242,125503581,4946382,<not supported>,2290919,<not supported>,144506,<not supported>,<not supported>,3179129,2768981,1958739,1865863,1881626,793762786,966629,122682395,428873,<not supported>,<not supported>,0,30293
bicg_main_pluto,0.137179,1378452446,1585776056,7800906,6770073,83822800,104717,39544,101272674,100397,576954553,7669571,113208430,4610777,<not supported>,1155994,<not supported>,170174,<not supported>,<not supported>,3239094,2634967,2010537,1610289,1457761,727608173,1060212,118460130,381701,<not supported>,<not supported>,65,29812
cholesky_main_pluto,0.593561,1825617860,5534349249,1899099,645052,360216316,415321,10310,353714380,409555,2134377884,24039600,376911346,436204,<not supported>,23974241,<not supported>,57656,<not supported>,<not supported>,3023187,349573,2631,507,188692,2409292483,636367,403628875,7229,<not supported>,<not supported>,104,364
doitgen_main_pluto,2.687819,7703233944,13518274792,8848004,252956,19036464,78643,16491,27243692,88699,4966685213,550078780,310956458,267183220,<not supported>,1158719,<not supported>,723630944,<not supported>,<not supported>,4905775,322478,646692,230915,3199314,4945945887,1604508,329388073,140454,<not supported>,<not supported>,0,39286
gemm_main_pluto,5.225566,14774414874,31654709219,9745420,161132,65783428,669913,14407,78049168,665202,14194533407,725989899,1132140827,466673718,<not supported>,28144067,<not supported>,685115,<not supported>,<not supported>,8864954,139953,1238493,59964,3111414,14160357844,1989138,1128921277,7058,<not supported>,<not supported>,0,2114
gemver_main_pluto,0.269794,1693546127,2064334079,9431754,6608967,117249914,698807,39572,134078594,687930,1147514409,8901810,142671817,4190525,<not supported>,3224613,<not supported>,151190,<not supported>,<not supported>,5170505,4049340,3971208,3719633,7392,984021803,870823,196096993,514501,<not supported>,<not supported>,142,26987
gesummv_main_pluto,0.123486,1990416603,1577674777,8230104,6492994,116751122,170226,70788,95443223,135649,961074919,11433534,163871751,5443978,<not supported>,2366666,<not supported>,239872,<not supported>,<not supported>,3050726,2884313,6549816,5352773,5936162,1059839182,1254801,198789615,685728,<not supported>,<not supported>,153,59554
